a_id,group,intensity,pre_O,dO,pre_logvol,pre_logvol_adjacent,pre_logvol_clean,post_logvol,dvol,retreat
41731,abusive,0.05263157894736842,2.8206573025163078,-1.5478605934343619,0.7742402021815782,1.075055681536833,0.7742402021815782,2.5751492939808953,1.8009090917993171,False
42264,abusive,0.2,3.600667190552431,-0.5499446342196572,1.5648092021712583,1.6685679608542916,1.5648092021712583,1.6912336979156926,0.12642449574443426,False
42415,abusive,0.025,3.182384269214488,0.2655616027224874,6.373205329204077,5.922980730445109,6.373205329204077,6.19451583779375,-0.17868949141032697,False
42945,abusive,0.12,0.440929523773121,0.35201315307906866,4.427113866780683,3.606425612223122,4.427113866780683,3.331618330404818,-1.0954955363758652,True
42945,abusive,0.07058823529411765,2.3492252495048915,-1.3575722504667012,1.861275512034625,4.302795745338149,1.861275512034625,3.457842926082636,1.5965674140480113,False
42945,abusive,0.027777777777777776,0.859882657609227,-0.25349214403554776,3.7421435522686735,4.078853969800218,3.7421435522686735,4.715142613056054,0.9729990607873806,False
42945,abusive,0.05263157894736842,0.8977333947315593,0.015790667445981232,3.2313315371384257,3.7055522758711215,3.2313315371384257,3.0875978931536543,-0.1437336439847714,False
42945,abusive,0.02247191011235955,1.4647952076507127,-0.6070341011153771,2.3598012512110076,2.312297406316932,2.3598012512110076,4.992992555052668,2.6331913038416603,False
42945,abusive,0.02027027027027027,0.7554309106326864,0.09634121373519144,4.8190044181286265,4.484550356212752,4.8190044181286265,4.970991295778034,0.15198687764940733,False
42963,abusive,0.5,3.006543958464816,-0.9310284146773191,1.1772208062900311,1.0961277846683983,1.1772208062900311,1.7414965835718739,0.5642757772818427,False
42963,abusive,0.2857142857142857,2.515637439099256,-0.677759819346579,1.440681104216619,2.1209205805490496,1.440681104216619,2.1240214178562433,0.6833403136396243,False
42965,abusive,0.038461538461538464,2.28914381629645,-1.8804896635008994,1.5136758535673045,2.4885764775216392,1.5136758535673045,4.390018275392185,2.8763424218248805,False
42965,abusive,0.14285714285714285,0.7350115784525144,0.349169314202062,4.3180738363537134,1.7618531224338625,4.3180738363537134,3.2152256000849517,-1.1028482362687617,True
42965,abusive,0.14285714285714285,1.5209893897048992,-0.05018227065672676,2.287916055748883,1.8824929112132633,2.287916055748883,2.3530478787168434,0.0651318229679605,False
42965,abusive,0.043478260869565216,0.9186069605981226,-0.23094446952918524,3.138636693667518,3.7158945273338224,3.138636693667518,3.639172157651443,0.5005354639839248,False
43145,abusive,1.0,2.206538104850237,-0.1527122250723525,1.3287579466295345,1.3733866568923765,1.3287579466295345,1.5931091146259984,0.26435116799646385,False
43261,abusive,0.1111111111111111,1.4760841104003564,0.03243818676896004,3.0071732061080807,3.44181094567453,3.0071732061080807,2.294895130919006,-0.7122780751890745,True
43261,abusive,1.0,1.0038643356137187,2.120895832532214,2.8540719878876666,2.680362328985801,2.8540719878876666,1.4950678473133472,-1.3590041405743194,True
43261,abusive,0.1111111111111111,2.170713908481538,1.1787003366766227,1.521774125838252,1.6028671474598848,1.521774125838252,0.9128696382935673,-0.6089044875446847,True
43261,abusive,1.0,4.0362988445199,-0.8875567302288832,0.9939626599152002,1.3158502424020202,0.9939626599152002,1.0961277846683983,0.10216512475319817,False
43261,abusive,0.2222222222222222,4.047850446750138,-0.49726064339529863,1.3158502424020202,2.1009038888376534,1.3158502424020202,2.0690183414520336,0.7531680990500134,False
43261,abusive,1.0,2.746453613839711,0.6713888013163816,1.7467832349855048,1.4909439898728003,1.7467832349855048,1.1772208062900313,-0.5695624286954735,True
43261,abusive,1.0,3.9613393540858746,-0.9833557374719679,1.1772208062900311,0.9939626599152002,1.1772208062900311,1.0675076159402637,-0.10971319034976745,False
43261,abusive,0.3333333333333333,4.0688726651990565,-1.4704358501469423,1.1058858175022848,0.9574983485564091,1.1058858175022848,1.075055681536833,-0.0308301359654517,False
43662,abusive,0.18181818181818182,2.4049466484541058,-0.06966295214791751,1.0596634733096073,1.6993980968197433,1.0596634733096073,1.1536641991587544,0.0940007258491471,False
43923,abusive,0.010273972602739725,2.3188726758352205,0.6332604430537878,1.1982929094215964,2.5983370107524424,1.1982929094215964,2.0353126945197095,0.8370197850981131,False
44367,abusive,1.0,2.4798455156351773,0.13487469830095034,0.9574983485564091,0.936426245424844,0.9574983485564091,0.7742402021815782,-0.18325814637483095,False
44367,abusive,0.2,1.8572623047403791,0.08316123922044483,1.8071973969662811,1.7496609824759246,1.8071973969662811,1.7050322722130828,-0.10216512475319828,False
44367,abusive,1.0,3.1244743218062103,-0.6446288061710339,1.075055681536833,1.3969432640236532,1.075055681536833,0.9574983485564091,-0.11755733298042392,False
44367,abusive,1.0,3.3896487394505015,-0.7959084969146968,0.936426245424844,1.017519267046477,0.936426245424844,0.9128696382935673,-0.02355660713127672,False
44680,abusive,0.5,3.1890618061684695,-0.5743415922323418,2.0579539682455037,1.7861252938347156,2.0579539682455037,0.7742402021815782,-1.2837137660639255,True
44755,abusive,0.14465408805031446,0.7441018475210928,0.2661270664002442,4.125407990642637,4.416716742332508,4.125407990642637,5.302814259267974,1.1774062686253366,False
44755,abusive,0.08450704225352113,1.6748059792802994,-0.3519777834387634,3.57964070059318,2.8581252198192373,3.57964070059318,4.711851031001451,1.1322103304082716,False
44755,abusive,0.0821917808219178,3.3636391442299605,-2.429775127533293,0.6931471805599453,2.995450825614495,0.6931471805599453,3.305912542252423,2.6127653616924778,False
44764,abusive,0.6666666666666666,2.242287937102923,-0.4098608914568507,2.9014881997192647,2.92665308662554,2.9014881997192647,3.036157110372018,0.13466891065275322,False
44764,abusive,0.22,0.612990532610357,0.06108635021063458,4.237887153389804,4.363628124368132,4.237887153389804,4.445554439540897,0.20766728615109287,False
44764,abusive,0.14634146341463414,0.8125829346600272,-0.17209310950652879,4.528867366534956,4.846455344645491,4.528867366534956,4.77546704579038,0.24659967925542414,False
44764,abusive,1.0,3.1232107934765185,1.455691894664188,2.6759931103735513,2.9353393061023287,2.6759931103735513,2.884467624442598,0.2084745140690467,False
44764,abusive,0.29411764705882354,3.703921746343893,-0.4400011410495779,2.798116177608807,3.6558905214478834,2.798116177608807,3.1709171460955052,0.3728009684866982,False
44946,abusive,0.25,3.201394487885646,-0.8688705925335922,0.9128696382935673,0.9939626599152002,0.9128696382935673,1.156148703158466,0.2432790648648988,False
45598,abusive,0.45454545454545453,0.37217130760955514,1.064947774297803,4.304655977608356,2.695189108726562,4.304655977608356,2.4079374856069147,-1.8967184920014417,True
45598,abusive,0.16666666666666666,1.6849400826272567,-0.012392599881515531,2.0504764618311797,1.9053219802559749,2.0504764618311797,2.07359520021875,0.023118738387570392,False
45598,abusive,0.2702702702702703,1.7020375658534745,-0.922808158147035,2.027490468496384,2.315967234050571,2.027490468496384,3.5641333076883948,1.5366428391920106,False
45598,abusive,0.05952380952380952,0.978442556548829,-0.2018336876805541,3.127288080898422,3.787394281429883,3.127288080898422,3.4286725506801234,0.30138446978170164,False
46030,abusive,0.006060606060606061,1.2930960155374638,0.08906785721788446,2.6097894331858016,2.1832175929095383,2.6097894331858016,2.5578145747396666,-0.05197485844613503,False
46747,abusive,0.09090909090909091,4.663408254397439,0.18641022325334422,1.3158502424020202,1.5120160930043656,1.3158502424020202,1.2712215321391782,-0.044628710262841986,False
46747,abusive,0.3333333333333333,4.7483016837163206,-0.271303652572227,1.339406849533297,1.2136851176488221,1.339406849533297,1.3604789526648622,0.021072103131565267,False
46747,abusive,0.3333333333333333,4.849818477650783,0.38153058207831325,1.2712215321391782,1.3287579466295345,1.2712215321391782,1.2136851176488221,-0.05753641449035607,False
46747,abusive,1.0,2.6147202139361276,0.7489189302938328,0.7742402021815782,0.7742402021815782,0.7742402021815782,0.6931471805599453,-0.0810930216216329,False
46800,abusive,0.125,4.759836328631904,0.35365757389080255,1.820995971263671,1.9514610084716093,1.820995971263671,1.7399029496420382,-0.08109302162163279,False
46800,abusive,0.16666666666666666,5.856149672952622,-1.0243187500120454,1.6094379124341003,1.6459022237928913,1.6094379124341003,1.7804911184413765,0.17105320600727625,False
46942,abusive,1.0,1.251943641707935,4.742466582177785,2.7314510933103846,2.2870187289632145,2.7314510933103846,1.017519267046477,-1.7139318262639076,True
46985,abusive,1.0,0.794992283577515,2.667662144210224,3.417255147907916,1.483395924276231,3.417255147907916,1.1325920960271891,-2.284663051880727,True
46985,abusive,0.25,2.977185342610311,-0.5716347620626814,1.4626440774180602,1.4724021102519467,1.4626440774180602,1.3831446897262627,-0.07949938769179754,False
46985,abusive,1.0,3.0933981714991843,1.4611072431511092,1.220958646482997,0.9939626599152002,1.220958646482997,0.9436997742590189,-0.27725887222397805,False
46985,abusive,1.0,2.31389914097782,0.8470025306158382,1.30205166810463,1.119684391799675,1.30205166810463,0.9704060527839233,-0.3316456153207066,False
46985,abusive,0.2,2.3292267609670567,-0.47169036277311527,1.2712215321391782,1.587474939232659,1.2712215321391782,1.912986629942118,0.6417650978029399,False
46985,abusive,0.5,2.2056071855419805,0.0008250342246611808,1.440681104216619,1.4673873827415236,1.440681104216619,1.3733866568923765,-0.0672944473242425,False
46985,abusive,1.0,4.741525342577867,-0.5929410687396679,0.6931471805599453,0.7742402021815782,0.6931471805599453,0.8764053269347762,0.18325814637483095,False
46985,abusive,0.25,5.57642969921212,-2.875724058935572,0.7742402021815782,0.9128696382935673,0.7742402021815782,0.936426245424844,0.1621860432432658,False
47116,abusive,1.0,13.759255909979606,-8.750808315889149,1.119684391799675,1.8640182471870606,1.119684391799675,0.936426245424844,-0.18325814637483107,False
47116,abusive,0.5,13.46610870788225,-10.681863811688789,1.485309814479461,1.0961277846683983,1.485309814479461,1.2136851176488221,-0.27162469683063883,False
47116,abusive,0.25,2.065769936254415,0.9781768737736614,1.4991083887768513,1.440681104216619,1.4991083887768513,2.290380152626491,0.7912717638496396,False
47116,abusive,0.2,1.9390575238848495,1.1176692595882136,1.6742021362476311,1.8565694125525858,1.6742021362476311,1.1536641991587544,-0.5205379370888767,False
47116,abusive,0.5,2.3961261864749184,1.7424414832694164,1.7399029496420382,1.8939245939812532,1.7399029496420382,0.8553332238032111,-0.8845697258388271,True
47116,abusive,1.0,3.2613703190055263,-0.6029576728335324,0.8317766166719343,0.7742402021815782,0.8317766166719343,0.9939626599152002,0.1621860432432659,False
47116,abusive,1.0,3.9326305811641538,-1.5370380024341763,0.8553332238032111,1.2347572207803874,0.8553332238032111,1.2922936352707435,0.4369604114675324,False
47344,abusive,0.0023235754897991514,6.878187877892235,3.8309526745661957,6.809835794318336,4.277522202684166,6.809835794318336,10.032581260990003,3.2227454666716673,False
47344,abusive,0.004562646334874227,12.354813133631316,-0.2482932832497564,9.556210257384086,10.707171668718066,9.556210257384086,8.714886814560447,-0.8413234428236382,True
47344,abusive,0.003554175645726308,5.890448379623239,0.4314193827260233,7.999525014079052,8.805050066109398,7.999525014079052,7.24494607973796,-0.754578934341092,True
47344,abusive,0.004054891746333252,15.621397767055646,-0.24522331508557826,9.452426498253034,8.310765306937009,9.452426498253034,8.549140339397805,-0.903286158855229,True
47344,abusive,0.007169245400343831,12.384308460425311,3.2044458239435265,4.120200987521235,6.522664448143897,4.120200987521235,5.474339184260845,1.3541381967396102,False
47344,abusive,0.000975370560864722,13.943581732942665,-6.839924802196136,10.226689087977329,6.503244110920716,10.226689087977329,5.488699054414967,-4.737990033562362,True
47344,abusive,0.0020938400576368875,24.649420638289897,3.9033237306780038,6.336658715198644,8.68358408634462,6.336658715198644,7.564036954373175,1.2273782391745307,False
47921,abusive,0.3,2.7183884772918736,-1.8175587102321817,0.9128696382935673,1.14075649493124,0.9128696382935673,3.683672090832155,2.7708024525385877,False
48300,abusive,0.015925406386665567,4.1254569524986735,-0.08733883059760039,9.559831603329709,8.523603262981469,9.559831603329709,9.438620976422568,-0.1212106269071409,False
48300,abusive,0.006352524927629463,4.034618170373169,0.0029233147694514017,9.438765522698576,9.452585827265736,9.438765522698576,9.447677411403065,0.008911888704489002,False
48300,abusive,0.006400487656202377,4.024173897169322,-0.19030666172559219,9.403461700216218,9.42323503203728,9.403461700216218,8.976363182997236,-0.4270985172189814,False
48300,abusive,0.0034372501998401277,4.042945014033679,-0.005364286515730399,9.461639592569991,9.447715399251237,9.461639592569991,9.448471665322703,-0.013167927247287992,False
48570,abusive,0.2,3.099019777577617,-2.266762349263761,1.0961277846683983,0.6931471805599453,1.0961277846683983,3.6788931097642523,2.582765325095854,False
49403,abusive,0.07407407407407407,2.6147202139361276,-1.095285932208752,0.7742402021815782,1.9120585540308177,0.7742402021815782,2.575762603262491,1.801522401080913,False
49463,abusive,0.25,1.8807103156043634,0.2767189418870666,1.781061732237858,1.4180153671552183,1.781061732237858,2.4470486045659907,0.6659868723281328,False
49463,abusive,0.018691588785046728,2.269773342858703,-1.7411775123253928,1.2445152536142738,1.262709609255419,1.2445152536142738,4.416335867808067,3.1718206141937935,False
49463,abusive,0.03571428571428571,0.4950408674178168,0.6630678563921752,4.295268908543246,1.6766866402473428,4.295268908543246,2.77648425264938,-1.518784655893866,True
49463,abusive,0.14285714285714285,1.5109364139198385,0.19171128555377548,2.2679143156317068,2.0321833163633776,2.2679143156317068,2.0255261208366844,-0.24238819479502238,False
49463,abusive,0.2,1.493752879620144,0.20982861356242188,2.321567112950643,2.2251994955720953,2.321567112950643,2.028106801803866,-0.29346031114677684,False
49463,abusive,0.1111111111111111,1.7866693823319462,-0.7098042342505959,1.9099331355159603,2.2247454658651877,1.9099331355159603,3.0429106623812663,1.132977526865306,False
49463,abusive,0.019230769230769232,1.0648341884359356,-0.45236058480865915,3.0031553000717772,3.8065201030714038,3.0031553000717772,3.8483792885546064,0.8452239884828292,False
50276,abusive,0.1,3.2613703190055263,-1.1618992682202394,0.8317766166719343,0.8317766166719343,0.8317766166719343,2.38099351054925,1.5492168938773159,False
50687,abusive,0.3333333333333333,1.6693471796412624,0.9694147032604636,2.1141402702139134,1.4544796785140093,2.1141402702139134,1.6839601690815176,-0.4301801011323958,False
50687,abusive,0.36363636363636365,2.594600338150273,0.21444874584259654,1.3604789526648622,1.9982996859717683,1.3604789526648622,1.3969432640236532,0.036464311358791024,False
50687,abusive,0.3,2.2969963167144423,-1.510286428086661,1.3287579466295345,1.156148703158466,1.3287579466295345,3.314043673047073,1.9852857264175385,False
50687,abusive,0.25,2.427960599020921,-1.6075118442627236,1.3158502424020202,2.8401545917509834,1.3158502424020202,3.291791647176165,1.9759414047741448,False
50687,abusive,0.08333333333333333,0.8429723629290835,0.48148964706816577,3.186302461126182,3.653777001812866,3.186302461126182,3.279333268108328,0.09303080698214572,False
50975,abusive,0.5,2.3924997264719337,0.18825425156485442,1.075055681536833,1.0514990744055563,1.075055681536833,1.0986122886681098,0.02355660713127672,False
51530,abusive,0.1,3.2613703190055263,-1.6146814783832988,0.8317766166719343,1.119684391799675,0.8317766166719343,3.021704895593173,2.189928278921239,False
51930,abusive,0.125,4.65000352657604,-2.923382381308822,1.396943264023653,2.395482782705571,1.396943264023653,2.123757507547441,0.7268142435237879,False
51930,abusive,0.08333333333333333,1.6411766323346186,0.8549913574930614,2.1096726368844747,1.2891439638771156,2.1096726368844747,1.2136851176488221,-0.8959875192356526,True
51934,abusive,0.4,2.5874166056457057,-0.8197488373067996,1.7683185693606362,1.8794303668085977,1.7683185693606362,2.0844562691902597,0.3161376998296235,False
51934,abusive,0.09090909090909091,2.039057533472769,-0.06155198846466514,1.5566448032672073,1.6506455291163544,1.5566448032672073,2.767297792869893,1.2106529896026856,False
52161,abusive,1.0,4.514628318760465,-0.22402767498384613,2.11804283305863,1.755295157869264,2.11804283305863,2.290022690511672,0.17197985745304178,False
52161,abusive,1.0,3.560185480926768,0.951782222308402,2.990588695952865,2.267914315631707,2.990588695952865,1.8460285998544723,-1.1445600960983926,True
52161,abusive,0.5,4.289812679790932,0.14525790671205563,3.5650699093004397,2.2660503692419462,3.5650699093004397,3.554694332858645,-0.010375576441794543,False
52161,abusive,0.2222222222222222,2.829983102776354,0.07918796632924163,2.0527352631549314,1.6764121034849482,2.0527352631549314,1.7092727137432036,-0.3434625494117278,False
52161,abusive,0.4117647058823529,2.3630828812650253,1.7264938914829213,1.854475152579127,1.1901285105175454,1.854475152579127,1.7589649856029035,-0.0955101669762235,False
52275,abusive,0.6666666666666666,2.614720213936127,1.5411940845510128,0.7742402021815782,1.1901285105175454,0.7742402021815782,1.4067012968575394,0.6324610946759612,False
52275,abusive,0.014598540145985401,2.6746960450560073,-2.2013918764017535,0.6931471805599453,1.4900159139614997,0.6931471805599453,4.351310555535316,3.658163374975371,False
52275,abusive,0.5,0.5064912495030716,1.468845775030775,3.9555520967187427,0.9128696382935673,3.9555520967187427,1.6697075650772195,-2.2858445316415232,True
52275,abusive,0.1111111111111111,1.028935444715504,0.565398515125473,2.9787056451584197,1.7589649856029035,2.9787056451584197,2.178456995039406,-0.8002486501190136,True
52275,abusive,0.2,1.6945549722693785,-0.19956835964020803,2.0362238578268816,2.1557912579780054,2.0362238578268816,2.3170864311513952,0.2808625733245136,False
52275,abusive,0.1111111111111111,1.5811508348323464,-0.337231999543103,1.9047380382353079,2.13471915484644,1.9047380382353079,2.7661192390764624,0.8613812008411545,False
52275,abusive,0.03636363636363636,0.984179363607041,-0.44782865324943355,3.187308999388489,3.2348714525583064,3.187308999388489,3.893647773506794,0.7063387741183047,False
52917,abusive,0.2,2.374816889456608,-0.042292994104554005,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.156148703158466,0.05753641449035629,False
53726,abusive,0.04854368932038835,2.374816889456608,0.6321252407593239,1.0986122886681098,1.6264237545911615,1.0986122886681098,1.657253890556613,0.5586416018885032,False
53726,abusive,0.014492753623188406,5.375701413449518,-0.3797170172589368,2.7779936937764567,3.451873469813107,2.7779936937764567,1.0961277846683983,-1.6818659091080583,True
54308,abusive,0.03125,3.840036357655053,-3.418868400947617,1.220958646482997,1.3631279980148663,1.220958646482997,4.440261389094206,3.2193027426112093,False
54308,abusive,0.06896551724137931,1.5152264450977708,-0.2786183385204981,2.3679343976733973,2.2452485785703065,2.3679343976733973,2.7166632342259294,0.34872883655253206,False
54308,abusive,0.16666666666666666,1.616532822695121,0.156072440357784,2.1136470517148753,2.5620252565792327,2.1136470517148753,1.9272392339464166,-0.18640781776845872,False
54308,abusive,0.18181818181818182,1.5551416322784906,-0.9678443875691654,2.2363836535560147,2.063384166058694,2.2363836535560147,3.739854404009069,1.5034707504530544,False
54308,abusive,0.05454545454545454,1.0962929796708942,-0.07756140299461634,2.9479516696629533,3.80735207666105,2.9479516696629533,3.081713811442656,0.13376214177970258,False
54765,abusive,0.2,5.994410223885721,-0.7526407069012233,1.0986122886681098,1.119684391799675,1.0986122886681098,1.1325920960271891,0.03397980735907935,False
55115,abusive,0.11266816143497758,2.333257274837746,1.5604699997504543,1.7317385507379874,1.860109327972466,1.7317385507379874,2.6313297710741756,0.8995912203361882,False
55115,abusive,0.21839080459770116,1.7239881259864418,-0.31500541921219516,2.6049942062791356,3.314390168642915,2.6049942062791356,2.906958642425769,0.3019644361466334,False
55456,abusive,0.2,7.940785692628369,-4.5736825120399764,0.8764053269347762,1.4334075753824442,0.8764053269347762,1.359588082594986,0.48318275566020974,False
55456,abusive,0.009345794392523364,2.554744382816247,-2.124373151261924,0.8553332238032111,2.957548592750096,0.8553332238032111,4.3780175041683735,3.5226842803651626,False
55456,abusive,0.5,0.9586132280135349,0.38844410981190913,3.3865283444169925,0.9574983485564091,3.3865283444169925,2.5055442535090453,-0.8809840909079472,True
55456,abusive,0.2,1.6025884556507362,-0.01653281098515058,2.163539223641192,2.0366778875337896,2.163539223641192,2.1882150278732926,0.024675804232100695,False
55456,abusive,0.2222222222222222,1.4290985583479627,0.20072255059282873,2.375713615778244,2.4351639204718305,2.375713615778244,2.1330455049123374,-0.24266811086590678,False
55456,abusive,0.015384615384615385,1.8548459915178301,-0.8754666986392382,1.7842114036314853,3.3748092696812093,1.7842114036314853,3.0711454002712837,1.2869339966397983,False
55456,abusive,0.043478260869565216,0.5735938365298878,0.12432480565451276,3.806876927430104,3.7717555660337267,3.806876927430104,3.5524843656213276,-0.25439256180877656,False
55497,abusive,0.4883720930232558,3.7623561162865338,0.3616785818135604,3.2172053802865626,3.0051700501144825,3.2172053802865626,3.415351195839797,0.19814581555323452,False
55497,abusive,0.11585365853658537,2.0208935440763076,-0.17367873502019848,4.855563111672292,4.976383867547054,4.855563111672292,4.805601064950474,-0.049962046721818254,False
55497,abusive,0.21804511278195488,4.005914020785278,0.7566561707875721,2.087557106497452,4.054151212719764,2.087557106497452,3.906521925048989,1.818964818551537,False
55497,abusive,0.26506024096385544,5.247994447692074,-1.1061468443015317,2.3001381854603773,2.8514229425376625,2.3001381854603773,4.278558495208463,1.9784203097480857,False
55653,abusive,0.15384615384615385,2.6746960450560073,-1.443957924454665,0.6931471805599453,0.9939626599152002,0.6931471805599453,2.7303798534702794,2.037232672910334,False
55820,abusive,0.034482758620689655,1.8623131828337935,2.4298877165551955,2.018755455795852,4.1808161638854004,2.018755455795852,1.3408828709928216,-0.6778725848030303,True
55820,abusive,0.01904761904761905,2.0188237631202846,-1.2682727982834612,2.0269198546999028,3.9522275609811084,2.0269198546999028,3.5017076791249044,1.4747878244250017,False
55820,abusive,0.02197802197802198,0.5268029425120154,0.3515231705084816,3.6682509212321093,3.9163339625256923,3.6682509212321093,3.1594643260096387,-0.5087865952224706,False
55820,abusive,0.08421052631578947,2.6832104806044703,-0.7204197100759373,1.2655873567458389,4.383342732376867,1.2655873567458389,2.8698615799593084,1.6042742232134695,False
55820,abusive,0.038461538461538464,1.1974102946591576,-0.30497166110864715,3.0635672843403485,4.1159108542937,3.0635672843403485,5.188798318718323,2.1252310343779746,False
55820,abusive,0.05154639175257732,1.5902788207867888,-0.23729481223569193,2.1840911704327453,2.8763902009693587,2.1840911704327453,2.9254800627350606,0.7413888923023153,False
55820,abusive,0.03278688524590164,0.9206765847739302,0.17775317992213924,3.2031969698511213,2.723797649209687,3.2031969698511213,3.477001529635589,0.2738045597844678,False
55820,abusive,0.05,0.9056668684128525,-0.477394542922889,3.1719167911612636,3.5397859905620073,3.1719167911612636,4.042916383618456,0.8709995924571925,False
55820,abusive,0.030303030303030304,0.902772177894312,0.11024083464430612,3.121210657452887,3.709155976971657,3.121210657452887,3.007579357960185,-0.11363129949270201,False
55820,abusive,0.01098901098901099,1.2402984300257465,-0.403871491632146,2.6866420132773134,2.94568969508653,2.6866420132773134,4.9438718030622,2.257229789784887,False
55820,abusive,0.023255813953488372,0.8102081915519435,-0.0950486187751799,4.869054400077669,5.055557044816287,4.869054400077669,4.737780429180197,-0.13127397089747195,False
55820,abusive,0.01694915254237288,0.857098512115634,-0.08488674328028212,5.010738087515511,4.9753752302066685,5.010738087515511,4.884343149558055,-0.12639493795745604,False
55827,abusive,1.0,1.23650612007381,-0.34562066480896214,2.6921427698074627,3.1113268822447493,2.6921427698074627,3.446518226250793,0.7543754564433303,False
56507,abusive,0.5,1.6631027968584136,-0.047312100816488956,2.360856156557661,1.851749902236774,2.360856156557661,2.2421477412631132,-0.1187084152945479,False
56507,abusive,1.0,2.0628832715219687,0.019142066091346166,1.5249237972318797,1.498217518706975,1.5249237972318797,1.498217518706975,-0.026706278524904592,False
57313,abusive,0.010638297872340425,2.7998932493663773,2.02761751955191,1.5355727001356423,0.8553332238032111,1.5355727001356423,0.8553332238032111,-0.6802394763324312,True
57313,abusive,0.3333333333333333,4.741525342577867,-2.370342949745666,0.6931471805599453,1.2136851176488221,0.6931471805599453,1.30205166810463,0.6089044875446846,False
57402,abusive,0.25,3.820497017894245,-1.2657526350779968,1.30205166810463,0.7742402021815782,1.30205166810463,0.8553332238032111,-0.4467184443014188,False
