a_id,group,density,active_responder,active_post_lag,active_pre_lag,active_post_ccf,calendar_responder,calendar_post_lag,calendar_pre_lag,calendar_post_ccf
41546,verified,0.5416666666666666,True,3.0,-10.0,0.2058061660328597,False,2.0,-10.0,0.0959159047783595
41805,verified,0.5700071073205402,False,9.0,-12.0,-0.07279979637006481,False,6.0,-10.0,-0.03925550036533972
42367,verified,0.6460554371002132,True,10.0,-14.0,-0.05343855301111248,True,9.0,-9.0,0.052046476837071746
44737,verified,0.7421602787456446,False,7.0,-5.0,0.18255274640204258,False,13.0,-6.0,0.1267815896066056
44870,verified,0.6817548746518106,False,14.0,-11.0,0.07479935975101294,False,12.0,-8.0,0.052971710655698424
46016,verified,0.46418539325842695,False,4.0,-9.0,0.16049051737110437,False,12.0,-3.0,0.13824619880552708
46093,verified,0.4335766423357664,False,6.0,-4.0,0.16224023355458853,False,6.0,-4.0,0.15763226385169918
47752,verified,0.5132867132867133,True,10.0,-5.0,0.1180015524467941,True,9.0,-5.0,0.13664232024047934
48389,verified,0.5728360309641097,True,12.0,-7.0,0.12482883269039183,True,13.0,-1.0,0.13245782724462055
48474,verified,0.28912280701754384,False,6.0,-7.0,0.12210971221752161,False,1.0,-1.0,0.04853418529843923
48832,verified,0.4645390070921986,False,9.0,-13.0,0.0377813852741892,True,2.0,-11.0,0.041543523217583804
49819,verified,0.729312762973352,True,5.0,-12.0,0.023831614657852485,True,14.0,-12.0,0.047120399104241144
50314,verified,0.5879467414155571,True,3.0,-1.0,0.18944682673852564,True,8.0,-7.0,0.08406076518909268
51853,verified,0.5680684248039914,False,9.0,-11.0,0.028654811028281144,False,10.0,-11.0,0.04694586746725497
52241,verified,0.3928320449754041,False,13.0,-1.0,0.11365725437440814,False,6.0,-9.0,0.11135637680707096
52842,verified,0.5868945868945868,True,13.0,-13.0,0.01923712019612964,True,2.0,-1.0,0.05426053921717367
54728,verified,0.5825105782792666,False,12.0,-2.0,0.09070926523446057,False,3.0,-2.0,0.07928489967536373
54730,verified,0.46685472496473907,True,14.0,-4.0,0.18566100849551082,True,11.0,-4.0,0.14974747410816988
55369,verified,0.5901060070671378,False,7.0,-5.0,0.08357135312169503,False,8.0,-5.0,0.08109749353569977
55646,verified,0.5011070110701107,True,3.0,-8.0,0.12338680489411528,True,5.0,-9.0,0.13458448030637282
77835,verified,0.17945383615084526,True,3.0,-1.0,0.298400419275405,True,3.0,-1.0,0.37676019749398026
90420,verified,0.5327102803738317,True,10.0,-13.0,0.2068560982224749,False,14.0,-9.0,-0.018140990145385977
99238,verified,0.47581227436823104,True,3.0,-12.0,0.07630591917500239,True,5.0,-14.0,0.0828690976887728
120176,verified,0.5835095137420718,True,13.0,-10.0,0.21367257632047967,False,13.0,-10.0,0.19877680690213145
124956,verified,0.6100719424460431,False,3.0,-6.0,0.16223781066922205,False,8.0,-6.0,0.10605078662176953
132101,verified,0.4062049062049062,False,2.0,-3.0,-0.03369593785328046,True,10.0,-10.0,0.04006189196814476
142288,verified,0.8335745296671491,False,8.0,-8.0,0.15123855419303772,False,12.0,-7.0,0.19222868120429493
142755,verified,0.7545257060101376,True,7.0,-2.0,0.1750670772359479,True,11.0,-2.0,0.18587641878683847
163607,verified,0.27419354838709675,True,1.0,-1.0,0.948646671773751,False,1.0,-1.0,0.9732073754207652
224936,verified,0.549962434259955,False,14.0,-6.0,-0.011339898059321727,True,13.0,-12.0,-0.0061916093831646596
244236,verified,0.7596006144393241,True,6.0,-3.0,0.06370713360773654,True,10.0,-6.0,0.07853041116574416
275849,verified,0.8369565217391305,False,5.0,-6.0,0.056538037254252785,False,6.0,-6.0,0.05656467004422283
305484,verified,0.5287539936102237,False,10.0,-6.0,0.0956249716982337,False,1.0,-6.0,0.10177944889261403
334159,verified,0.5290697674418605,False,2.0,-6.0,0.14894267273758996,False,1.0,-11.0,0.15366000115624828
341235,verified,0.7843450479233227,False,6.0,-7.0,0.26390095524506285,True,9.0,-2.0,0.260977267647179
381539,verified,0.8336025848142165,False,11.0,-5.0,0.08361708655409937,False,8.0,-5.0,0.07687727740652245
386626,verified,0.33169934640522875,False,6.0,-10.0,0.09796686535496284,False,6.0,-3.0,0.06942602603458813
389622,verified,0.4557988645579886,True,8.0,-9.0,0.16441083209982849,True,8.0,-1.0,0.15792745389058205
399612,verified,0.3523654159869494,True,1.0,-1.0,-0.15810737591984778,False,3.0,-9.0,0.02289338689297677
400797,verified,0.5318606627017842,False,12.0,-10.0,0.04829839427112188,True,3.0,-14.0,0.048852155395046656
411688,verified,0.46804979253112033,True,9.0,-14.0,0.2148696261204543,True,7.0,-1.0,0.2104612199651305
416103,verified,0.7146361406377759,False,1.0,-11.0,0.18111973599067788,True,4.0,-1.0,0.14727663794366055
433313,verified,0.8319604612850082,True,1.0,-3.0,0.16312339289618685,True,1.0,-1.0,0.17247274825122322
438996,verified,0.4859038142620232,False,14.0,-12.0,-0.01290253308305265,False,1.0,-12.0,0.011374214540069911
467829,verified,0.34437663469921537,False,2.0,-10.0,0.6890669486128277,False,9.0,-11.0,-0.0022645801886273065
471114,verified,0.8310580204778157,False,5.0,-9.0,0.2577961279076046,False,5.0,-4.0,0.25121109735096075
27281057,verified,0.4318181818181818,False,5.0,-4.0,-0.07065588622942445,True,3.0,-6.0,0.0691790775410578
60820005,verified,0.8064236111111112,True,13.0,-5.0,0.14442606070206596,True,13.0,-5.0,0.14484536802756565
152950980,verified,0.6654898499558694,True,8.0,-5.0,0.17137515267161796,True,4.0,-13.0,0.17560204635140117
157989255,verified,0.42589285714285713,True,1.0,-5.0,0.12012871158265619,True,1.0,-5.0,0.14750861698871595
219953046,verified,0.3726541554959786,True,9.0,-7.0,0.2856885707812506,False,13.0,-4.0,-0.005292810652234369
224157523,verified,0.8103756708407871,False,4.0,-7.0,0.1156797009475619,False,4.0,-7.0,0.12779948278281944
224189473,verified,0.5974955277280859,False,7.0,-10.0,-0.009721854340059304,False,10.0,-11.0,0.006955970708446314
253405494,verified,0.6205035971223022,True,1.0,-3.0,0.25565042762724527,True,1.0,-2.0,0.3264783478023435
303209220,verified,0.3058933582787652,False,5.0,-2.0,0.2803893476463669,False,5.0,-2.0,0.3211942564117478
363560149,verified,0.5128440366972477,True,1.0,-9.0,0.4163904767220893,True,1.0,-9.0,0.4187678775119158
379399457,verified,0.7746090156393745,True,12.0,-1.0,0.08247579043720535,True,14.0,-7.0,0.1138279475708339
424079174,verified,0.4850467289719626,True,12.0,-2.0,0.1167037529664822,False,14.0,-2.0,0.12135364691207128
486159336,verified,0.8173258003766478,True,3.0,-11.0,0.22938294284015803,False,7.0,-2.0,0.22085381035644994
492498141,verified,0.579696394686907,True,7.0,-6.0,0.21820103799092025,True,7.0,-6.0,0.23027522388515273
496549942,verified,0.7726415094339623,True,1.0,-10.0,0.13276794658007307,True,1.0,-13.0,0.14786895338413092
532298668,verified,0.7783063748810657,False,12.0,-14.0,0.18990539601762135,False,3.0,-11.0,0.03202967296564199
536422936,verified,0.32108317214700194,False,10.0,-2.0,0.043608652762442884,False,10.0,-2.0,0.06822340970957874
610047597,verified,0.811046511627907,False,13.0,-8.0,0.02836245130627067,False,13.0,-8.0,0.02994823609337288
621578854,verified,0.42524271844660194,True,13.0,-14.0,-0.157771545549595,False,1.0,-14.0,0.03964885523316365
671804639,verified,0.7760314341846758,True,3.0,-4.0,0.18945586398741826,True,3.0,-4.0,0.1960423786382542
725774710,verified,0.8093346573982125,True,11.0,-1.0,0.19809651604903092,True,11.0,-1.0,0.17349802894472294
738379012,verified,0.6633466135458167,False,8.0,-5.0,0.11319271206573539,True,9.0,-11.0,0.1232363389940408
770279182,verified,0.8076152304609219,True,6.0,-3.0,0.25329755658434316,True,6.0,-3.0,0.26691703351502905
878445230,verified,0.7745901639344263,True,13.0,-7.0,0.0811277609831112,False,6.0,-7.0,0.07578491320837426
