a_death,a_succ,t_A,shared_ips,overlap_frac,in_core,bA_pre,dA_b,dA_v,bB_post,dB_b,dB_v,dB_v_placebo
111768,787,2019-07-05,9,0.1666666666666666,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-3.025851293465256,-0.0444372355486115,0.0531716943784061,0.9216794206818176
111768,2,2019-07-05,5,0.0925925925925925,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-3.24155257619488,0.2000894638534989,-0.2909095690488641,-0.5546386438125595
111768,2134,2019-07-05,5,0.0925925925925925,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-2.292608696289085,0.2943668995130344,-0.5591691152543508,-1.8459622269638276
111768,15,2019-07-05,4,0.074074074074074,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-6.119671703020122,-0.0754091245097692,0.1312079968858661,0.9726086049640372
111768,3297,2019-07-05,3,0.0555555555555555,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-1.8779674747643085,-0.3884875485033967,0.4031745847273917,0.6838763692359784
111768,889,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-2.8328364338698586,-0.1103990288231102,0.1394700640837047,0.8619453828584298
111768,25,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-4.709013102457253,-0.0680900520493974,0.1058625112776727,1.293835885959572
111768,129172,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-2.590942467394028,0.1888968491734428,-0.6931212061966399,6.966024187106113
111768,50,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-3.938458949875836,0.3333989063583051,-0.4649015832806569,0.6730851190816871
111768,2135,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,-0.4599107553179631,0.4531119581987334,-0.5882428692895925,-0.5388073038727903
111768,4619,2019-07-05,2,0.037037037037037,0,0.621992418111666,1.2541118936976583,-3.450639648886975,0.9682008010363622,-0.5369269969684131,0.8446970786871457,2.002865041982786
250362,502,2019-09-04,304,0.642706131078224,1,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-4.724855067792539,0.297223609269408,-0.5622100245502342,-0.1290282639594924
250362,543,2019-09-04,114,0.241014799154334,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-2.4330809209943114,0.2339875717465158,-0.6405472629601796,-0.1753971251424104
250362,15,2019-09-04,111,0.2346723044397463,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-6.163209794313305,0.164110699741478,-0.3120941840144553,0.1194875132624844
250362,460,2019-09-04,93,0.1966173361522198,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-2.318664795415072,-1.6901683822599842,2.794968218434676,0.8216624606826208
250362,101,2019-09-04,84,0.1775898520084566,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-4.2444511877155895,0.1051416808153389,-0.4611829349037197,-0.0231439062206817
250362,47,2019-09-04,83,0.175475687103594,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-5.578916081344768,0.0841766749010686,-0.4138587913076819,-0.0274915508615034
250362,8,2019-09-04,75,0.1585623678646934,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-7.891869805666403,0.7268629396256774,-0.6154605148079852,0.0049457601158309
250362,1711,2019-09-04,68,0.1437632135306553,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-2.9440559450562174,0.4777403372470257,-0.5713582725640318,0.1170538396962559
250362,5,2019-09-04,67,0.1416490486257928,0,-2.7772895134965294,1.6020103418029523,-2.0819193597900227,-6.896249802032673,0.1140527530059616,-0.4694908249089629,0.002905987729715
