botness,density
0.0125,5.675902602854744
0.037500000000000006,1.276238455079765
0.0625,1.3769941225860618
0.08750000000000001,1.242653232577666
0.1125,1.4105793450881616
0.1375,0.8060453400503772
0.16250000000000003,0.8732157850545762
0.1875,1.1418975650713687
0.21250000000000002,0.9068010075566753
0.2375,0.6045340050377834
0.2625,0.8060453400503772
0.28750000000000003,0.671704450041981
0.3125,0.8732157850545771
0.3375,0.6045340050377828
0.36250000000000004,0.40302267002518943
0.3875,0.5037783375314857
0.41250000000000003,0.6045340050377828
0.4375,0.6717044500419824
0.4625,0.671704450041981
0.48750000000000004,0.47019311502938776
0.5125,0.2686817800167924
0.5375000000000001,0.4701931150293867
0.5625,0.5709487825356838
0.5875000000000001,0.671704450041981
0.6125,0.705289672544083
0.6375,0.5709487825356838
0.6625000000000001,0.772460117548278
0.6875,1.0075566750629714
0.7125000000000001,1.0411418975650704
0.7375,0.8396305625524799
0.7625,0.9739714525608723
0.7875000000000001,1.376994122586061
0.8125,1.2426532325776647
0.8375000000000001,1.1754827875734668
0.8625,1.041141897565075
0.8875,0.8732157850545752
0.9125000000000001,0.6045340050377828
0.9375,0.8732157850545752
0.9625000000000001,0.8060453400503772
0.9875,2.5188916876574394
