a_death,a_succ,t_A,shared_ips,overlap_frac,in_core,bA_pre,dA_b,dA_v,bB_post,dB_b,dB_v,dB_v_placebo
54052,23560,2019-04-23 00:00:00,62,0.2731277533039647,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,0.7352939744239769,-0.5853423883194592,0.0136056520557792,0.0
54052,1467,2019-04-23 00:00:00,57,0.2511013215859031,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-0.1758420530123478,-0.266790232093484,-0.2073513048597899,0.0
54052,3000,2019-04-23 00:00:00,56,0.2466960352422907,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-0.0174164313245593,-0.1584013078189491,-0.1519504589176561,0.0
54052,983,2019-04-23 00:00:00,55,0.2422907488986784,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-1.4043494597903272,0.1286701658358453,-0.6283273258996296,0.0
54052,105,2019-04-23 00:00:00,55,0.2422907488986784,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,0.2535218616044673,-0.8314382878172054,0.0944908434209228,0.0
54052,355,2019-04-23 00:00:00,55,0.2422907488986784,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-1.7447264289059576,-0.772075692852434,0.3220315524664183,0.0
54052,1615,2019-04-23 00:00:00,54,0.237885462555066,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-1.143977298958018,-0.8008250505471897,0.3484337348578545,0.0
54052,8200,2019-04-23 00:00:00,54,0.237885462555066,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-0.186081843245524,-0.0015832166415206,-0.4602530501303583,0.0
54052,13474,2019-04-23 00:00:00,54,0.237885462555066,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-0.1555112845456692,-0.774165847811326,0.3384543978252043,0.0
54052,3615,2019-04-23 00:00:00,54,0.237885462555066,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-2.0621272071220145,0.0790102397210046,-0.7617947680473796,0.0
54052,2810,2019-04-23 00:00:00,54,0.237885462555066,0,0.5776525621405585,-0.066851568068729,0.1177830356563838,-1.2678072660970152,-0.4961447636900147,0.0935024058862703,0.0
49913,3612,2019-04-24 00:00:00,544,0.5893824485373781,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-0.7355145398173603,-0.1527957125814316,-0.3182447228619471,0.0
49913,42756,2019-04-24 00:00:00,526,0.5698808234019501,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-1.8621148916825243,-1.400425754766878,0.2855448628329764,0.0
49913,52403,2019-04-24 00:00:00,525,0.5687973997833152,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-1.1431365835559282,-0.9654706189961956,0.4151270190199012,0.0
49913,48405,2019-04-24 00:00:00,503,0.5449620801733478,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-3.449504028377466,-1.282805468659273,0.8559044900612331,0.0
49913,2805,2019-04-24 00:00:00,493,0.5341278439869989,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-0.6492740761512575,-0.5845616157011516,0.0672522270091668,0.0
49913,47599,2019-04-24 00:00:00,491,0.5319609967497292,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,0.5096469565037254,0.3740300139519594,-0.976088302716196,0.0
49913,50504,2019-04-24 00:00:00,490,0.5308775731310943,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-1.1692801883294206,-0.9233866352540232,-0.0609143509217497,0.0
49913,48293,2019-04-24 00:00:00,477,0.5167930660888408,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-5.199779855158889,-1.3365997265249543,0.7714847049618836,0.0
49913,49164,2019-04-24 00:00:00,476,0.5157096424702059,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-0.1468464345106441,-0.0316023360709579,-0.6632197600184728,0.0
49913,49758,2019-04-24 00:00:00,471,0.5102925243770314,1,-0.0408878299008313,-0.3194972900484129,-0.4762016591999423,-1.5916845419924388,-0.7267203405072405,-0.4518689392419395,0.0
50823,22343,2019-04-24 00:00:00,45,0.2419354838709677,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,-1.975356977497041,-1.4473996813818375,0.2380362248948291,0.0
