label,median_volume_cv,median_burst_frac,median_volume_autocorr_time
bot,1.222719864587885,0.03125,7.0
chrome,2.15300617486078,0.03967168262653899,13.0
human,1.7827736955103708,0.047145115084461134,24.0
pothuman,1.9081088061676201,0.029850746268656716,6.0
