feature,did_bot_minus_human,ci_lo,ci_hi,bot_mean,human_mean,sig
evasion_index,-0.0027743952435060814,-0.024511371955601987,0.01580218396209149,0.002009043620127854,0.004783438863633935,0
ip_ent,-0.005437650353028689,-0.02796653118332301,0.014748380371837391,-0.00037185431974808594,0.005065796033280603,0
dom_ent,-0.0006919482638017239,-0.02005554933472012,0.017067772783991974,0.005099620973061636,0.0057915692368633595,0
ctry_ent,-0.0021935871136878372,-0.02589079919210497,0.017517606159042163,0.0012993642070700103,0.0034929513207578476,0
compliance,0.002863981212852882,-0.00223622049848678,0.008053496452818366,0.003208190472709869,0.00034420925985698754,0
request_diversity,-0.0020266504776627753,-0.027027930239572354,0.01944520225914242,-0.0017641942951290889,0.0002624561825336865,0
log_hits,-0.03162985462641086,-0.20832720045223793,0.155584197343372,-0.08869127373432421,-0.057061419107913354,0
resistance,-0.01933742694706942,-0.03444799123761897,-0.005329098113777084,0.017165848934287783,0.036503275881357204,1
