a_id,n_days,avg_bot_prob,tf_distance,num_windows,O_meanvec,O_dailymean
84128,269,1.0,1.9734583497047424,304,1.3402382452353474,1.3575852153998693
194926743,317,0.9771525859832764,1.9733794927597048,260,3.31717870925743,3.4419763621041275
1952870776,367,0.9999905824661256,1.9731462597846985,395,3.8514987672366146,3.9415670872708515
1055906240,135,1.0,1.972625195980072,77,0.5284209251279194,1.2637683857630506
1721902489,459,1.0,1.972610056400299,532,10.286811673822386,10.476702598370379
1844913494,614,1.0,1.9725078344345093,583,2.212538001041828,2.3083113785099925
1719325030,280,0.9999873638153076,1.9724812507629397,590,0.8370156515813013,1.443614923103348
330752436,668,0.9999764561653136,1.97221440076828,837,0.6407080055944743,1.1444620196397242
402582,759,0.999978244304657,1.972179353237152,971,0.6418813224865836,1.1506347071382057
493688463,655,1.0,1.9720337390899656,808,1.1522730313079936,1.8304253022315926
829226749,786,0.9999999403953552,1.9720293283462524,736,0.9434146777682445,1.3777382006599463
985357938,563,0.9999990463256836,1.9720025658607483,703,1.3751768788344108,2.1027704175742543
241188077,568,0.9998302459716796,1.9718971252441408,522,0.6204243860807102,0.9633742357625839
1468174914,529,0.9999971389770508,1.97186291217804,616,0.7519153137736732,1.2908071175878437
1271115223,472,1.0,1.9718372225761411,488,11.399648673591427,12.500069308185575
1055914726,554,0.986302614212036,1.9717991948127749,584,16.56784698961355,17.379435115730864
171798,612,0.9976948499679564,1.9717392325401304,1108,0.6202896677870499,1.584516841160194
216230,1091,1.0,1.9717342853546145,1083,0.5912484302342932,1.4191839707949387
1729193110,179,1.0,1.9716899394989011,124,1.761511470025233,2.2403702646966046
1393035276,166,0.9994758367538452,1.9716157913208008,227,1.27023543596143,1.6454991607509397
542591662,854,1.0,1.9715840220451355,798,0.9544881123020481,0.9871001767537069
239253,455,0.9999952912330629,1.971580982208252,456,1.461940738153252,1.5309260825007414
1843737924,381,0.9888555407524108,1.971573531627655,493,1.2314992143339605,2.1442491807428152
2123493281,570,0.9999404549598694,1.9715425968170168,564,2.3292437983333922,2.4538771942127524
1396153049,560,0.9999986290931702,1.9715224504470823,625,0.41636213221252516,2.006409709806525
1392321470,593,0.9995707273483276,1.971484422683716,625,0.32711188544581693,1.7436885892926177
1393150345,298,0.99517023563385,1.9713410139083865,621,0.6269227454770729,1.596820732354459
243499,991,0.9999988079071044,1.971298098564148,1045,1.4192110823437805,1.7257741881353543
1487656644,378,0.999923050403595,1.9712812900543213,609,1.1803073052078916,2.061730951389846
1701284546,307,0.999653458595276,1.9711288213729856,559,2.3425357874818893,2.48093104667898
1418946713,654,0.999989688396454,1.971108973026276,609,0.5741892484336661,1.6731090764860483
1393620819,655,0.99996155500412,1.971013605594635,622,0.5828777269239822,1.671736830766387
1393258478,642,0.9999998807907104,1.970971524715424,609,0.6315120650315609,1.6310024882232594
138584,841,0.9956506490707396,1.9709699749946596,1129,0.7495247642338194,1.9355417362104859
149373265,749,0.99400132894516,1.9709147214889529,879,0.6017232430065214,2.0334261664349227
1409705824,617,0.9970791935920716,1.9708764553070068,606,0.7512673126057395,1.5832032342309628
704931308,369,0.9958158135414124,1.9708632230758667,758,0.9582046913427139,1.8250528825726284
1392109992,654,1.0,1.970847249031067,625,1.7511442517202336,2.1088011355644936
329721621,901,0.9823297262191772,1.9707623720169067,845,0.42653085660138457,1.8771403361493424
2122725237,540,0.9760626554489136,1.970664978027344,564,2.437362202709686,2.5339742386077138
1409082997,626,0.983179807662964,1.9706321954727173,612,0.7181236754601057,1.5901215355384304
184845,1126,0.9694526195526124,1.9705584049224851,1102,0.7496246174584605,1.7672261208444837
47605,1000,0.9962637424468994,1.970405876636505,1177,0.8815067610015338,1.8598173858502314
2142884713,543,0.9589011669158936,1.970349192619324,561,2.4037341958886813,2.541496406583662
2144040670,541,0.953761875629425,1.9703367352485657,561,2.429877627765166,2.532605874231764
407547795,664,0.9965742230415344,1.970259547233581,829,1.2659856395154683,1.422744649012766
82713,656,0.9808948636054992,1.9702286124229431,1153,1.4964068375952977,2.2120573567373873
1418769101,616,0.9681047797203064,1.9699743390083315,609,0.7504985634280146,1.6092741991057795
163257,534,0.9879392981529236,1.9699337482452397,684,1.025505645038806,1.2321646832529995
606531578,189,0.9707589149475098,1.9698952436447144,244,1.2971394905347522,2.064720631188188
433658,1006,0.9644138216972352,1.9697296619415283,959,2.0053701498849117,2.0753883130675006
740338920,319,0.9802899360656738,1.969687938690185,543,1.693149735953992,2.614698540842015
1377275842,357,0.9278964996337892,1.9696134328842163,625,0.39335028267201716,1.7197914427169962
451893,859,0.933070719242096,1.9695287346839905,942,0.4924796338457617,1.609307763604944
2123295900,544,0.9294747710227966,1.969347357749939,564,2.4353004616657805,2.5306426296590585
205539,620,0.9490783214569092,1.969346225261688,1056,0.7271897499509653,1.5359413464314977
52322,1012,0.966885507106781,1.9692903757095337,1168,0.36486336338928266,1.231951803389873
2122399466,594,0.9427509903907776,1.969176173210144,564,2.7709375528599134,2.812261387694089
2142915897,556,0.9457938075065612,1.969088554382324,561,2.3724934751544966,2.510373844058993
1137554326,626,0.9331323504447936,1.969051718711853,672,0.4837213689383945,1.632583449843134
618194074,646,0.9752195477485656,1.9689515829086304,761,0.6009069029969633,1.674746741150369
242921,1037,0.9582258462905884,1.9688523411750796,1046,0.47931514234828043,2.070244732304204
2142926031,576,0.9509149193763732,1.968772113323212,561,2.3753695030900235,2.532180762487622
1397758338,653,0.9763064384460448,1.9687404036521912,625,0.6275570847874502,1.7491560711063954
1400429773,260,0.9468344449996948,1.9685226082801817,624,1.3383605345449183,3.5095898613513534
101077,842,0.9368160963058472,1.968475103378296,1142,0.5110130154963619,1.571027693731878
402171295,639,0.9714812636375428,1.9683132767677307,828,0.6540824608491875,1.6253174279303357
