a_death,a_succ,t_A,shared_hp,rare_score,min_pop,jaccard,in_core,bA_pre,dA_b,dA_v,bB_post,dB_b,dB_v,dB_v_placebo
50823,41939,2019-04-24,1,0.0010537407797681,949,0.125,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.1268764243050442,-0.1170617966936165,-0.3101549283038394,0.0
50823,41973,2019-04-24,1,0.0010537407797681,949,0.1,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.7018843319619883,0.1916452603164036,-0.2876820724517808,0.0
50823,45766,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.5303486239400286,0.2200035852889759,-0.3566749439387324,0.0
50823,45149,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.0262141938134768,-0.3667972772126688,0.0229895182246986,0.0
50823,45120,2019-04-24,1,0.0010537407797681,949,0.1428571428571428,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.2132058919123103,0.2964019053542779,-0.6931471805599454,0.0
50823,45022,2019-04-24,1,0.0010537407797681,949,0.1,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.6723732980539252,-0.0729247611363648,0.3184537311185349,0.0
50823,44961,2019-04-24,1,0.0010537407797681,949,0.3333333333333333,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.593350013891235,-0.0952001738397112,-0.1823215567939546,0.0
50823,44870,2019-04-24,1,0.0010537407797681,949,0.125,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,0.1373053717053401,-0.6501099372223589,0.5495990096919519,0.0
50823,44842,2019-04-24,1,0.0010537407797681,949,0.125,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.6417478296661236,0.2759475290153912,-0.2513144282809061,0.0
50823,44755,2019-04-24,1,0.0010537407797681,949,0.3333333333333333,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,0.4889902822360283,-1.035394699038258,1.3373203565234304,0.0
50823,44680,2019-04-24,1,0.0010537407797681,949,0.0017182130584192,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,0.1414194012968453,-1.7375311341135238,5.37989735354046,0.0
50823,44602,2019-04-24,1,0.0010537407797681,949,0.1666666666666666,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.538684033951055,0.0569574994371635,0.1335313926245227,0.0
50823,44393,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,0.0936938674384454,-0.5145266177047916,-0.0865092429092824,0.0
50823,44367,2019-04-24,1,0.0010537407797681,949,0.1428571428571428,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.6611069559760794,-0.1469358790894464,0.3566749439387326,0.0
50823,44327,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.186778399967464,-0.1498625487871303,-0.154150679827258,0.0
50823,44215,2019-04-24,1,0.0010537407797681,949,0.0909090909090909,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.783750361570658,0.1332802433755961,-0.1053605156578263,0.0
50823,49387,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.4132142711483464,-0.0729310017789988,-0.2363887780642302,0.0
50823,49338,2019-04-24,1,0.0010537407797681,949,1.0,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,1.1238638287891176,,1.6094379124341005,0.0
50823,48774,2019-04-24,1,0.0010537407797681,949,0.1666666666666666,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,-2.656998719653462,-1.84799404172,1.0063123630325412,0.0
50823,48496,2019-04-24,1,0.0010537407797681,949,0.1,0,0.4608268870408907,0.4037353795029489,-0.9141378785130536,-3.646091601668612,-1.2464961373205847,0.5536810524156088,0.0
62930,47978,2019-05-14,2,0.0041259207925874,324,0.0476190476190476,0,-1.386241776321964,1.0793712489145495,-0.9834692696308664,1.8860387618207657,,1.791759469228055,0.0
62930,48473,2019-05-14,2,0.0041259207925874,324,0.0526315789473684,0,-1.386241776321964,1.0793712489145495,-0.9834692696308664,1.8931269882311623,,1.6094379124341005,0.0
62930,51573,2019-05-14,2,0.0041259207925874,324,0.0033670033670033,0,-1.386241776321964,1.0793712489145495,-0.9834692696308664,0.7597866548576583,-0.0165317139453996,-0.2204733227583313,0.0
62930,51926,2019-05-14,2,0.0041259207925874,324,0.3333333333333333,0,-1.386241776321964,1.0793712489145495,-0.9834692696308664,1.878950535410369,0.0556885317583661,-0.4700036292457354,0.0
62930,52161,2019-05-14,2,0.0041259207925874,324,0.0526315789473684,0,-1.386241776321964,1.0793712489145495,-0.9834692696308664,0.8806282486100887,,3.58351893845611,0.0
