agent_id,label,n_active,evasion_index__trend_dir,evasion_index__tau,evasion_index__cp_sig,evasion_index__cp_frac,evasion_index__cp_effect,ip_ent__trend_dir,ip_ent__tau,ip_ent__cp_sig,ip_ent__cp_frac,ip_ent__cp_effect,dom_ent__trend_dir,dom_ent__tau,dom_ent__cp_sig,dom_ent__cp_frac,dom_ent__cp_effect,ctry_ent__trend_dir,ctry_ent__tau,ctry_ent__cp_sig,ctry_ent__cp_frac,ctry_ent__cp_effect,url_ent__trend_dir,url_ent__tau,url_ent__cp_sig,url_ent__cp_frac,url_ent__cp_effect,resistance__trend_dir,resistance__tau,resistance__cp_sig,resistance__cp_frac,resistance__cp_effect,compliance__trend_dir,compliance__tau,compliance__cp_sig,compliance__cp_frac,compliance__cp_effect,p404__trend_dir,p404__tau,p404__cp_sig,p404__cp_frac,p404__cp_effect,img__trend_dir,img__tau,img__cp_sig,img__cp_frac,img__cp_effect,html__trend_dir,html__tau,html__cp_sig,html__cp_frac,html__cp_effect,js__trend_dir,js__tau,js__cp_sig,js__cp_frac,js__cp_effect,php__trend_dir,php__tau,php__cp_sig,php__cp_frac,php__cp_effect,folder__trend_dir,folder__tau,folder__cp_sig,folder__cp_frac,folder__cp_effect
1006025140,bot,573,-1,-0.18989830805206817,1,0.6230366492146597,0.10135092116324312,1,0.11688476829323596,1,0.8883071553228621,0.1506800036836936,-1,-0.3423522038589408,1,0.6230366492146597,0.3225030708099906,1,0.09700018571530103,1,0.8883071553228621,0.11064783368921906,-1,-0.32299763216329536,1,0.6212914485165794,0.21623115873245996,1,0.5046585525717548,1,0.6230366492146597,0.5177015393207283,1,0.20726988535538537,1,0.6230366492146597,0.0696454875,1,0.5760106720326602,1,0.4694589877835951,0.2862639163275289,0,0.0,0,,,0,-0.040621712463781594,0,0.4118673647469459,0.01174747239350199,0,0.0,0,,,0,-0.04399047458379973,1,0.6823734729493892,0.006145065407099304,-1,-0.10009225932370831,1,0.506108202443281,0.11786392283416602
1112403889,bot,705,-1,-0.20199109833717036,1,0.6382978723404256,0.041274789829847475,-1,-0.1938312500062851,1,0.6382978723404256,0.0739382610026143,-1,-0.08529449696556546,1,0.13049645390070921,0.2512308677861905,-1,-0.42510107973045896,1,0.37446808510638296,0.00752253917681921,1,0.23404632572875586,1,0.6539007092198581,0.16628813720875865,-1,-0.13406889216590404,1,0.6382978723404256,0.17982709745098047,-1,-0.06422229182491605,1,0.13191489361702127,0.4400872699061776,-1,-0.06334992195028273,1,0.14042553191489363,0.0757313733719372,0,0.0,0,,,-1,-0.4346214035524824,1,0.6723404255319149,0.029397975040002196,0,0.0,0,,,-1,-0.3162953841298675,1,0.6638297872340425,0.005700491426868983,0,0.0,0,,
1113551025,bot,96,1,0.6702583252315396,1,0.5104166666666666,0.1391649038436532,1,0.6975685746712226,1,0.5416666666666666,0.4447856200877622,1,0.6836820071595193,1,0.5416666666666666,0.0015503796332167834,1,0.4389035024007651,1,0.5104166666666666,0.00029359251715154144,-1,-0.45613636806494273,1,0.2916666666666667,0.0035959392983193283,1,0.47077258183662923,1,0.5625,0.06221930687830679,1,0.621603629172139,1,0.2916666666666667,0.012972403361344642,-1,-0.6987730809189827,1,0.4895833333333333,0.013370431125922714,0,0.0,0,,,-1,-0.5766343486283968,1,0.2916666666666667,0.0017497609159663865,0,0.0,0,,,-1,-0.5380658464774795,1,0.2916666666666667,0.0005631159747899159,0,0.0,0,,
1113551316,bot,97,1,0.6680295200594141,1,0.5051546391752577,0.023196593097752273,1,0.6861333010908345,1,0.5051546391752577,0.027751977375518707,1,0.6725554653172692,1,0.5051546391752577,0.021005705771352044,0,0.032253602396186944,1,0.28865979381443296,0.014492791599223603,1,0.23801746001857663,1,0.5567010309278351,0.09468903316106814,-1,-0.6808488244159824,1,0.5051546391752577,0.10861228188775507,1,0.29159372087937196,1,0.5051546391752577,0.00010118144472789122,-1,-0.7390653036674011,1,0.5360824742268041,0.037616694927350425,0,0.0,0,,,1,0.7508979214014293,1,0.4742268041237113,0.13813742071611254,0,0.0,0,,,1,0.23310256936035545,1,0.28865979381443296,0.1068974482401655,0,0.0,0,,
1162507608,bot,88,1,0.7031062120931292,1,0.625,0.44655783422222206,1,0.6878858603282778,1,0.625,0.8273741786060606,1,0.7031062120931292,1,0.625,0.47244993618181824,1,0.4315372708554526,1,0.11363636363636363,0.14855635128205125,0,-0.14355129276153747,0,0.11363636363636363,0.0746002025641026,-1,-0.32091648956061575,1,0.11363636363636363,0.15709961794871796,0,0.0,0,,,-1,-0.4113433097194694,1,0.11363636363636363,0.03087557846153846,0,0.0,0,,,-1,-0.3902207810866219,0,0.10227272727272728,0.007542245991561182,0,0.0,0,,,1,0.5739651171237301,1,0.11363636363636363,0.14935080589743585,-1,-0.4457294592147303,0,0.10227272727272728,0.10856451054852323
1167784048,bot,84,1,0.701760650242482,1,0.6309523809523809,0.178072153589369,1,0.701760650242482,1,0.6309523809523809,0.45121610308581866,1,0.7548147200202642,1,0.6309523809523809,0.08172157405356058,1,0.47071517848342526,1,0.16666666666666666,0.004356578428571428,0,0.06646986670227044,0,0.03571428571428571,0.08968222222222222,-1,-0.35579090065159974,1,0.16666666666666666,0.12673012857142857,0,0.0,0,,,-1,-0.4776868370743597,1,0.16666666666666666,0.02649188142857143,0,0.0,0,,,1,0.4589974214513004,1,0.16666666666666666,0.05626945,0,0.0,0,,,1,0.2915131552412598,1,0.16666666666666666,0.04562849714285716,0,0.0,0,,
1182223835,bot,376,-1,-0.07818067436210771,1,0.7606382978723404,0.08410318185547783,0,-0.0637375547457511,0,0.7606382978723404,0.10438021686868681,0,-0.06362975539246037,0,0.7606382978723404,0.08670465222999224,0,-0.06155639168461763,0,0.18085106382978725,0.1790699849236058,0,-0.04625411515728438,0,0.10904255319148937,0.054938862468147165,1,0.10520747180060741,0,0.7925531914893617,0.0028781168473584577,-1,-0.18180587486525662,0,0.31382978723404253,0.08786317684929706,1,0.08954080534958181,0,0.800531914893617,0.002724885168150609,0,0.0,0,,,0,0.0,0,,,0,0.0,0,,,0,0.040601882130006976,0,0.7792553191489362,0.00012744273448743633,0,0.03760765869997259,1,0.13829787234042554,0.10081409270417857
118519,bot,693,1,0.26580928934469994,1,0.6695526695526696,0.1982160129341716,1,0.1773028051377247,1,0.6695526695526696,0.2417212255536628,1,0.20228289660463336,1,0.6695526695526696,0.2738174002261519,1,0.05484950297056163,1,0.7128427128427128,0.09420428606534695,-1,-0.26191530118107575,1,0.35209235209235207,0.002377900678191963,1,0.08580339209566618,1,0.7128427128427128,0.26075768658067666,1,0.5307742775659119,1,0.49783549783549785,0.05655336889055468,1,0.4100741896962141,1,0.7113997113997114,0.15890835080152127,0,0.0,0,,,1,0.20603501514258898,1,0.7445887445887446,0.015845277880370514,0,0.0,0,,,1,0.1522571880561162,1,0.7503607503607503,0.007797712813472654,0,0.0,0,,
118619285,bot,911,-1,-0.48651380311666853,1,0.33260153677277715,0.0056748968119380025,-1,-0.5106933980676465,1,0.33260153677277715,0.006580188659754971,-1,-0.3072291308127007,1,0.7047200878155873,0.010710374464000739,-1,-0.5115787945964024,1,0.33260153677277715,0.006705555288201862,-1,-0.4757093580843925,1,0.33150384193194293,0.2525722944333888,-1,-0.3686966601721293,1,0.33260153677277715,0.019100594569654343,-1,-0.5929281245963682,1,0.33260153677277715,0.071783951949366,-1,-0.2884837188385001,1,0.33260153677277715,0.026724471164184357,0,0.0,0,,,0,-0.012573682036366107,0,0.013172338090010977,0.0005421260292918056,0,0.0,0,,,1,0.11937918144793622,0,0.5982436882546652,0.00034685157798165143,0,0.0,0,,
1210487955,bot,77,1,0.2870512917113924,0,0.06493506493506493,0.9123678580675927,1,0.2870512917113924,0,0.06493506493506493,0.9124009102638889,1,0.2870512917113924,0,0.06493506493506493,0.9124009102638889,1,0.2870512917113924,0,0.06493506493506493,0.9123017536749999,1,0.24208965872356822,0,0.06493506493506493,0.5958501055555556,-1,-0.3267690338983234,0,0.06493506493506493,0.2880208472222222,0,0.0,0,,,-1,-0.332535546261235,0,0.06493506493506493,0.007959228166666665,0,0.0,0,,,1,0.36885660729154574,0,0.06493506493506493,0.7682938111111112,0,0.0,0,,,-1,-0.38822377998943114,0,0.06493506493506493,0.1100203886111111,0,0.0,0,,
1215949374,bot,77,1,0.6936006849879608,1,0.5844155844155844,0.06482467038740741,1,0.6936006849879608,1,0.5844155844155844,0.15328438352166665,1,0.6936006849879608,1,0.5844155844155844,0.032588514771666674,1,0.608085538224935,1,0.44155844155844154,0.0024035221811217495,-1,-0.2232720137055299,1,0.37662337662337664,0.007386840804597561,1,0.20618102859296086,1,0.44155844155844154,0.022952582763337864,0,0.0,0,,,1,0.17220660190331277,1,0.16883116883116883,0.04355140614182692,0,0.0,0,,,1,0.20342100769110832,1,0.15584415584415584,0.24210587628205132,0,0.0,0,,,0,0.06016956087343215,1,0.14285714285714285,0.09691797848484851,0,0.0,0,,
1216003577,bot,75,-1,-0.2692520174446851,1,0.38666666666666666,0.12348121269115442,-1,-0.38611213058783284,1,0.38666666666666666,0.14235125964767617,0,-0.11686011314314779,1,0.38666666666666666,0.07851339986506747,-1,-0.39558727489673673,1,0.38666666666666666,0.14957897856071964,-1,-0.3024784762367466,1,0.38666666666666666,0.280003720089955,-1,-0.26146828468165084,1,0.38666666666666666,0.3288273118440779,-1,-0.4500809357335409,1,0.56,0.09189532012987023,0,-0.07408146540284237,0,0.3466666666666667,0.015356309419152272,0,0.0,0,,,0,0.0,0,,,0,0.0,0,,,0,-0.16329931618554522,0,0.0,,1,0.6293211326212298,1,0.56,0.12037483484848477
