a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
311282942,abusive_share,bot,130,452,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
311404777,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
311404978,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
313252337,abusive_share,bot,30,46,0.075,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.13862943611198908,-0.4,0.0
313721704,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
313721831,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
313721860,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
313746003,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
314576171,abusive_share,bot,158,663,0.018459915611814346,0.0,0,5,0,0.0,0.0,3.0,0.0,0.0,0.032831765673186276,0.0,0.0
316172806,abusive_share,bot,43,59,0.046511627906976744,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,-0.2643511679964641,-0.19999999999999996,0.0
316211545,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
316240170,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
316382656,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
316393364,abusive_share,bot,171,480,0.0014619883040935672,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.044628710262841986,0.05,0.0
316425262,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
316443460,abusive_share,bot,14,22,0.0,0.0,0,0,0,,,,,,,,
316579484,abusive_share,bot,144,508,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
316585041,abusive_share,bot,131,470,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
316812712,abusive_share,bot,160,444,0.011979166666666667,0.0,0,4,0,0.0,-1.0,3.0,0.0,0.0,0.21784439926917545,-0.011111111111111112,0.0
318726773,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
318726842,abusive_share,bot,36,44,0.1111111111111111,0.0,0,4,0,0.0,0.0,2.0,0.0,0.0,0.10986122886681099,0.03333333333333333,0.0
319191868,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
319197427,abusive_share,bot,13,54,0.003205128205128205,0.0,0,1,0,,,,,,,,
319216512,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
319217695,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
319345669,abusive_share,bot,7,12,0.0,0.0,0,0,0,,,,,,,,
319345732,abusive_share,bot,11,46,0.0,0.0,0,0,0,,,,,,,,
319416696,abusive_share,bot,12,58,0.0033333333333333335,0.0,0,1,0,,,,,,,,
320317581,abusive_share,bot,6,6,0.0,0.0,0,0,0,,,,,,,,
320327930,abusive_share,bot,34,47,0.029411764705882353,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4,0.0
320327967,abusive_share,bot,159,423,0.011530398322851153,0.0,0,3,0,0.0,-1.0,1.0,0.0,0.0,0.27725887222397827,0.0,0.0
320358027,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320358160,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320390845,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320391197,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320392234,abusive_share,bot,28,32,0.03571428571428571,0.0,0,1,0,0.0,0.0,0.0,,,,,0.0
320399397,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
320399620,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320470960,abusive_share,bot,10,16,0.0,0.0,0,0,0,,,,,,,,
320521960,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
320593022,abusive_share,bot,262,290,0.011450381679389313,0.0,0,6,0,0.0,0.0,4.0,0.0,0.0,-0.020273255405408225,0.016666666666666666,0.0
320593058,abusive_share,bot,147,296,0.007936507936507936,0.0,0,3,0,0.0,-1.0,2.0,0.0,0.0,0.2772588722239781,-0.2,0.0
320701847,abusive_share,bot,144,510,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
320720387,abusive_share,bot,185,640,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
320726425,abusive_share,bot,126,468,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
320731444,abusive_share,bot,18,27,0.0,0.0,0,0,0,,,,,,,,
320810322,abusive_share,bot,38,53,0.05263157894736842,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.1621860432432658,0.1,0.0
320810324,abusive_share,bot,31,48,0.16129032258064516,0.0,0,6,0,0.0,-1.0,2.0,0.0,0.0,0.08109302162163295,-0.3666666666666667,0.0
320818605,abusive_share,bot,171,482,0.0050682261208577,0.0,0,3,0,0.0,-1.0,3.0,0.0,0.0,0.10646769282903612,-0.003333333333333336,0.0
320835382,abusive_share,bot,34,356,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
323120722,abusive_share,bot,36,52,0.06944444444444445,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.26435116799646385,-0.30000000000000004,0.0
323144538,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
323144574,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
323144594,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
323937155,abusive_share,bot,150,174,0.006666666666666667,0.0,0,1,0,0.0,0.0,0.0,,,,,0.0
323948095,abusive_share,bot,27,27,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
323959345,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
323970332,abusive_share,bot,25,136,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
324984724,abusive_share,bot,901,70373,0.0047835661692649705,0.0017779710922607985,1,159,0,1.0,1.0,18.0,-0.001851851851851852,0.10964165326794353,0.12244717260307095,-0.0018002211758007698,0.0
325824039,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
325863411,abusive_share,bot,12,61,0.0,0.0,0,0,0,,,,,,,,
325930588,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
326069672,abusive_share,bot,20,91,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
326078537,abusive_share,bot,146,545,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
326080354,abusive_share,bot,147,537,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
326083083,abusive_share,bot,144,532,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
326086678,abusive_share,bot,126,449,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
326200108,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
328550799,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
328585290,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
329765542,abusive_share,bot,10,13,0.0,0.0,0,0,0,,,,,,,,
330616439,abusive_share,bot,117,433,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
330624407,abusive_share,bot,134,465,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
330625667,abusive_share,bot,128,467,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
330628061,abusive_share,bot,128,467,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
330631834,abusive_share,bot,138,489,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
333128317,abusive_share,bot,20,91,0.0011111111111111111,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.19616585060234515,0.09999999999999998,0.0
333243343,abusive_share,bot,9,37,0.0,0.0,0,0,0,,,,,,,,
333393483,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
335558880,abusive_share,bot,132,503,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
335835054,abusive_share,bot,240,241,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
336030802,abusive_share,bot,123,465,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
336136816,abusive_share,bot,160,481,0.0078125,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,-0.3619886582626984,0.0,0.0
338553412,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
338776389,abusive_share,bot,7,19,0.0,0.0,0,0,0,,,,,,,,
341152486,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
341236389,abusive_share,bot,9,35,0.0,0.0,0,0,0,,,,,,,,
341245969,abusive_share,bot,7,28,0.01020408163265306,0.0,0,1,0,,,,,,,,
341626630,abusive_share,bot,6,11,0.0,0.0,0,0,0,,,,,,,,
345261064,abusive_share,bot,5,5,0.2,0.0,0,1,0,,,,,,,,
346439644,abusive_share,bot,7,16,0.0,0.0,0,0,0,,,,,,,,
346542737,abusive_share,bot,14,53,0.0,0.0,0,0,0,,,,,,,,
346742393,abusive_share,bot,130,459,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
346743205,abusive_share,bot,117,410,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
346746464,abusive_share,bot,120,411,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
346756682,abusive_share,bot,139,497,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
349129125,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
350962334,abusive_share,bot,25,103,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
352122026,abusive_share,bot,114,413,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
352127730,abusive_share,bot,123,454,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
354493675,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
354599452,abusive_share,bot,10,12,0.0,0.0,0,0,0,,,,,,,,
354614382,abusive_share,bot,6,19,0.0,0.0,0,0,0,,,,,,,,
354797603,abusive_share,bot,4,18,0.0,0.0,0,0,0,,,,,,,,
357447614,abusive_share,bot,9,13,0.0,0.0,0,0,0,,,,,,,,
357462872,abusive_share,bot,142,509,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
357466472,abusive_share,bot,126,453,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
357549193,abusive_share,bot,16,90,0.0,0.0,0,0,0,,,,,,,,
359437856,abusive_share,bot,9,11,0.2222222222222222,0.0,0,2,0,,,,,,,,
360285371,abusive_share,bot,7,8,0.0,0.0,0,0,0,,,,,,,,
360763218,abusive_share,bot,128,458,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
360770744,abusive_share,bot,126,447,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
360821592,abusive_share,bot,8,22,0.125,0.0,0,1,0,,,,,,,,
364853289,abusive_share,bot,9,27,0.0,0.0,0,0,0,,,,,,,,
368159691,abusive_share,bot,80,340,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
368465222,abusive_share,bot,3,4,0.0,0.0,0,0,0,,,,,,,,
369885427,abusive_share,bot,6,6,0.0,0.0,0,0,0,,,,,,,,
371063590,abusive_share,bot,128,438,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
379213663,abusive_share,bot,3,3,0.0,0.0,0,0,0,,,,,,,,
380891745,abusive_share,bot,3,3,0.0,0.0,0,0,0,,,,,,,,
381306619,abusive_share,bot,14,415,0.0,0.0,0,0,0,,,,,,,,
381929268,abusive_share,bot,130,484,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
381984130,abusive_share,bot,19,74,0.0,0.0,0,0,0,,,,,,,,
383736946,abusive_share,bot,9,11,0.0,0.0,0,0,0,,,,,,,,
383908459,abusive_share,bot,3,3,0.0,0.0,0,0,0,,,,,,,,
384703530,abusive_share,bot,11,39,0.0,0.0,0,0,0,,,,,,,,
385164041,abusive_share,bot,159,424,0.012054507337526204,0.0,0,3,0,0.0,0.0,3.0,0.0,0.0,-0.05376505772446316,-0.05555555555555555,0.0
385478465,abusive_share,bot,34,44,0.08823529411764706,0.0,0,3,0,0.0,0.0,2.0,0.0,0.0,0.06931471805599454,-0.2,0.0
385522247,abusive_share,bot,132,517,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
385522683,abusive_share,bot,126,471,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
385522761,abusive_share,bot,133,486,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
385522818,abusive_share,bot,123,449,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
385531142,abusive_share,bot,37,53,0.05405405405405406,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,-0.06931471805599448,-0.10000000000000003,0.0
