label,visible,evasive,mimicry
bot,0.22033898305084745,0.7796610169491526,0.0
chrome,0.7884130982367759,0.21074727120067172,0.0008396305625524769
human,0.855,0.14,0.005
pothuman,0.48833746898263025,0.13002481389578163,0.3816377171215881
