a_id,group,intensity,pre_O,post_O,dO,pre_logvol,dvol,kind
41546,control,0.3333333333333333,2.9029975733883844,2.9224930664378896,0.019495493049505264,1.1869788391239176,-0.1930161792087174,stealth
41546,control,1.0,2.8663646197684267,3.737395034210793,0.8710304144423664,1.0514990744055563,-0.27725887222397816,stealth
41546,control,0.5,3.311056039374513,1.9847249811118928,-1.3263310582626204,1.2347572207803874,0.715764083534911,stealth
41546,control,0.375,2.1968157561477026,3.6259822511983435,1.4291664950506409,1.7307988465816764,-0.67929977217612,retreat
41546,control,0.3,3.4568822869043947,2.7635003744836495,-0.6933819124207452,1.0514990744055563,0.10464962875290973,stealth
41546,control,0.5,2.513738779556341,3.658016816162393,1.1442780366060523,1.416005299984518,0.059546481661056694,stealth
41546,control,1.0,3.658016816162393,2.9274409892248054,-0.7305758269375877,1.4755517816455748,-0.4815891217303746,stealth
41546,control,0.2,3.4626192759434096,2.0182426112365284,-1.4443766647068812,1.440681104216619,0.4455992472005945,stealth
41546,control,0.25,2.46610650123447,2.040468226326766,-0.4256382749077039,1.5217741258382518,0.41588830833596724,stealth
41546,control,0.125,4.127808339030129,2.834465228887184,-1.2933431101429451,1.1325920960271891,0.3162534070934808,stealth
41546,control,0.3333333333333333,2.3415175896565104,3.8168913801879127,1.4753737905314024,1.6110315463639355,-0.9178843658039902,retreat
41546,control,1.0,3.2161413224187156,4.338145091979991,1.122003769561275,0.6931471805599453,0.0810930216216329,stealth
41546,control,1.0,4.41764143795711,3.498905996279432,-0.9187354416776783,0.6931471805599453,0.3243720864865317,stealth
41546,control,1.0,3.498905996279432,3.737395034210793,0.23848903793136111,1.017519267046477,-0.2432790648648988,stealth
41546,control,1.0,4.066360380185158,4.309069934302298,0.24270955411713935,1.1901285105175454,-0.17260924347106843,stealth
41805,control,0.03753351206434316,0.7252889813530348,0.6225334954259785,-0.1027554859270563,3.3033614678619627,0.6767913833322594,stealth
41805,control,0.08133086876155268,1.885324076145332,3.3953621267698315,1.5100380506244995,5.727746573116272,1.5082470601807465,stealth
41805,control,0.15467449828683308,3.4272300160551152,3.740393663607409,0.31316364755229387,7.270312279498556,0.31104627002510554,stealth
41805,control,0.13073237508555785,3.740393663607409,3.664944968787907,-0.07544869481950212,7.581358549523662,-0.07531607214506675,stealth
41805,control,0.02618657937806874,3.675118249949121,3.1587834476011967,-0.5163348023479242,7.516053611472036,-0.5157331278263539,stealth
41805,control,0.08549222797927461,3.1615867608615438,2.4531078026695825,-0.7084789581919613,7.0024659154225075,-0.7290798779502303,retreat
42367,control,0.5142857142857142,2.148534158896634,1.583029339758633,-0.5655048191380008,1.8071973969662811,0.6858736517257698,stealth
42367,control,0.03155006858710562,1.9937697367276683,2.621062579111773,0.6272928423841047,5.822023402165992,0.6333386625399244,stealth
42367,control,0.030508474576271188,2.672767024864912,3.081559134234666,0.4087921093697542,6.497607768053183,0.43011137440013236,stealth
42367,control,0.0078125,3.198371640127579,3.259387198709169,0.061015558581590135,7.039585489927819,0.05665439433561659,stealth
42367,control,0.07203791469194312,3.41766837576768,3.5484930796134244,0.1308247038457444,7.252358382496344,0.1372275951430808,stealth
42367,control,0.03789893617021277,3.475902143635854,3.4751455907687756,-0.0007565528670783195,7.318725035056071,0.0013838177382279326,stealth
42367,control,0.02502606882168926,3.565896659134693,2.9941290336526434,-0.5717676254820496,7.410031831338517,-0.5739735215257209,stealth
44737,control,0.009940357852882704,2.4896716370088687,2.332190241854926,-0.15748139515394266,6.299221776329012,-0.16594264021591076,stealth
44737,control,0.006796116504854369,3.559401378014692,3.5756532231629463,0.016251845148254507,7.302663369151523,0.038234629379433116,stealth
44737,control,0.0071633237822349575,2.9202940073336636,2.882562977305696,-0.03773103002796763,6.4453166175567675,0.053822013268388424,stealth
44737,control,0.02384500745156483,2.9211754709134063,2.892494202918888,-0.02868126799451831,6.532520310827579,-0.017187754744964145,stealth
44737,control,0.015082956259426848,2.893627454801412,2.6587167278076365,-0.23491072699377558,6.517727794291959,-1.200758117577858,retreat
44737,control,0.09699769053117784,2.5364532542768488,2.5360901009217414,-0.0003631533551073929,5.958923276372335,-0.00952038030261626,stealth
44737,control,0.051597051597051594,2.535681510768184,2.535962951167351,0.00028144039916710994,5.939582416125207,0.004609172680140716,stealth
44737,control,0.07307692307692308,2.3318257725710128,1.1650153395327185,-1.1668104330382942,4.053089494577973,0.8469643558417754,stealth
44737,control,0.005681818181818182,1.1650153395327185,1.798780823593169,0.6337654840604505,4.900053850419749,0.4280669529308554,stealth
44737,control,0.3076923076923077,1.1599926556756952,1.8846438573792992,0.724651201703604,3.971600552836376,1.488074375869593,stealth
44737,control,0.07291666666666667,0.8602253371011365,0.9976289495156816,0.13740361241454513,4.517264288621581,0.09004545221051874,stealth
44737,control,0.11688311688311688,1.0426377027033444,1.016393376302721,-0.026244326400623352,4.650910171194859,-0.7264716667074715,retreat
44870,control,0.0043859649122807015,2.9369248521989917,3.0383951773536566,0.10147032515466492,6.7646165024188205,0.11237410060888209,stealth
44870,control,0.0009578544061302681,2.958400012709648,2.878436820196911,-0.07996319251273709,6.78502504285189,-0.07588225216554001,stealth
44870,control,0.03571428571428571,1.5680456486004357,1.4674575628778295,-0.10058808572260625,5.3560006260190764,-0.14198761105643953,stealth
44870,control,1.0,2.218704254984657,2.7205074364886146,0.5018031815039574,1.9612190413054957,-0.7710905307879503,retreat
