label,n_agents,median_drift,median_adaptation_time,pct_oscillatory,median_osc_period
bot,177,2.010845344090797,5.0,23.163841807909606,214.00000000000003
chrome,1191,1.6378337295138488,1.0,10.075566750629724,185.2
human,200,1.804431403518726,2.0,8.0,264.0833333333333
pothuman,2015,1.9322010225572235,2.0,9.032258064516128,125.0
