a_id,t_death,pre_vol,tail_vol,drop_ratio
111768,2019-07-05,34.6,6.8404040404040405,0.19769953874000115
250362,2019-09-04,4560.0,370.5575221238938,0.08126261450085391
136756,2019-10-02,40.0,17.30751708428246,0.4326879271070615
89399,2020-02-07,56479.8,280.3284671532847,0.004963340294287244
46942,2020-02-16,8.8,2.0301204819277108,0.23069550930996713
566865170,2020-05-12,29.2,8.031531531531531,0.27505244970998394
920066779,2020-07-17,74.2,5.2243589743589745,0.07040915059782984
469704,2020-07-31,13.6,1.1788079470198676,0.08667705492793144
44680,2020-08-27,26.6,10.58125,0.39779135338345867
939313413,2020-09-22,6179.4,831.6860215053763,0.13459009313288933
1155312104,2020-09-23,969.6,52.26373626373626,0.0539023682588039
58077,2020-09-25,93.6,42.00337837837838,0.44875404250404255
97239,2020-09-25,94.2,42.68106312292359,0.4530898420692525
97240,2020-09-25,113.2,42.87118644067797,0.37872072827454034
100575,2020-09-25,118.2,44.1396933560477,0.3734322618954966
100576,2020-09-25,97.4,42.07325383304941,0.4319635917150863
105842,2020-09-25,98.6,42.9327731092437,0.43542366236555474
105843,2020-09-25,106.4,43.141880341880345,0.4054688002056423
106069,2020-09-25,95.4,42.19015280135823,0.4422447882741953
106095,2020-09-25,106.2,51.73950795947901,0.48718934048473644
110225,2020-09-25,109.8,42.78947368421053,0.38970376761576075
116372,2020-09-25,102.0,41.76061120543294,0.4094177569160092
118503,2020-09-25,93.4,43.333333333333336,0.46395431834404
124213,2020-09-25,113.6,51.736918604651166,0.4554306215198166
116373,2020-09-26,92.0,43.015228426395936,0.46755683072169496
1265482905,2020-09-30,24.8,1.018181818181818,0.041055718475073305
202272,2020-10-04,310.2,119.4,0.38491295938104453
131550,2020-10-12,2157.4,1011.8064516129032,0.4689934419268115
1392110676,2021-01-18,1141.8,37.353846153846156,0.03271487664551249
1392112139,2021-01-18,1146.4,28.184615384615384,0.024585323957270918
1392110536,2021-01-19,1108.8,17.67142857142857,0.015937435580292723
1392110596,2021-01-19,1047.8,17.46875,0.016671836228287842
1392110758,2021-01-19,916.4,15.5,0.016914011348756003
1392110641,2021-01-20,981.6,8.142857142857142,0.00829549423681453
1392111650,2021-01-20,1001.8,12.714285714285714,0.01269144112026923
1392112125,2021-01-20,982.0,10.0,0.010183299389002037
1449709188,2021-01-26,400.2,20.894736842105264,0.05221073673689471
1449710829,2021-01-26,402.8,18.210526315789473,0.045209846861443574
1449710843,2021-01-26,387.2,16.17543859649123,0.04177540959837611
1449758577,2021-01-26,401.6,18.94736842105263,0.047179702243656946
1449759604,2021-01-26,402.4,18.596491228070175,0.04621394440375292
1449814274,2021-01-26,399.8,18.42105263157895,0.0460756694136542
1449814364,2021-01-26,405.2,18.035087719298247,0.044509100985434966
1449880779,2021-01-26,403.4,18.49122807017544,0.04583844340648349
1449950362,2021-01-26,400.8,19.403508771929825,0.04841194803375705
1443536413,2021-01-27,346.2,12.178571428571429,0.035177849302632666
1449719968,2021-01-27,373.0,12.928571428571429,0.03466104940635772
1449727511,2021-01-27,363.6,10.214285714285714,0.028092094923778087
1449727652,2021-01-27,364.4,14.767857142857142,0.040526501489728715
1449730189,2021-01-27,384.4,11.178571428571429,0.02908057083395273
1449735396,2021-01-27,362.6,11.160714285714286,0.03077968639193129
1449736642,2021-01-27,365.2,9.946428571428571,0.027235565639180098
1449747357,2021-01-27,365.2,10.178571428571429,0.027871225160381787
1449747475,2021-01-27,384.2,13.142857142857142,0.034208373614932695
1449751546,2021-01-27,370.6,12.160714285714286,0.03281358414925603
1449783045,2021-01-27,373.0,15.607142857142858,0.041842206051321336
1449800511,2021-01-27,364.6,10.053571428571429,0.027574249666954
1449848094,2021-01-27,376.8,13.357142857142858,0.035448892932969364
1449863490,2021-01-27,373.6,11.160714285714286,0.029873432242275927
1449878775,2021-01-27,361.2,10.196428571428571,0.028229314981806676
1449879505,2021-01-27,378.2,9.589285714285714,0.025355065347133034
1449879875,2021-01-27,381.4,11.214285714285714,0.02940295153194996
1449880254,2021-01-27,368.8,12.339285714285714,0.033457933064766035
1449881750,2021-01-27,336.6,12.875,0.038250148544266185
1449938569,2021-01-27,371.0,13.910714285714286,0.03749518675394686
1449709315,2021-01-28,348.2,7.9818181818181815,0.022923084956399144
1449710885,2021-01-28,342.8,7.345454545454546,0.02142781372653018
1449710888,2021-01-28,353.6,7.290909090909091,0.020619086795557382
1449711005,2021-01-28,356.0,9.872727272727273,0.027732379979570992
1449727643,2021-01-28,347.6,9.363636363636363,0.026937964222198973
1449737409,2021-01-28,346.2,6.1454545454545455,0.017751168531064544
1449739750,2021-01-28,343.4,8.4,0.024461269656377405
1449747111,2021-01-28,366.0,7.654545454545454,0.02091405861897665
1449747344,2021-01-28,369.8,9.563636363636364,0.025861645115295737
1449751589,2021-01-28,354.4,8.545454545454545,0.0241124563923661
1449758747,2021-01-28,359.2,11.763636363636364,0.03274954444219478
1449784607,2021-01-28,352.2,6.545454545454546,0.018584481957565433
1449814248,2021-01-28,344.0,10.10909090909091,0.029386892177589854
1449814752,2021-01-28,349.2,8.981818181818182,0.025721128813912322
1449889807,2021-01-28,351.8,7.054545454545455,0.020052715902630625
1449710839,2021-01-29,293.8,4.555555555555555,0.015505634974661522
1449719953,2021-01-29,320.0,4.555555555555555,0.01423611111111111
1449729868,2021-01-29,299.6,4.981481481481482,0.016627107748603074
1449729994,2021-01-29,298.2,3.537037037037037,0.01186129120401421
1449733727,2021-01-29,322.2,3.537037037037037,0.01097776858174127
1449740560,2021-01-29,332.2,7.018518518518518,0.02112738867705755
1449741224,2021-01-29,302.2,4.5,0.014890800794176044
1449746136,2021-01-29,307.8,4.925925925925926,0.01600365797896662
1449751719,2021-01-29,321.6,6.537037037037037,0.02032660770222959
1449759754,2021-01-29,304.6,4.981481481481482,0.016354174266190024
1449815684,2021-01-29,315.2,5.037037037037037,0.015980447452528673
1449887314,2021-01-29,341.8,6.481481481481482,0.01896278958888672
1450174776,2021-01-29,323.6,3.962962962962963,0.012246486288513481
1490594568,2021-02-01,184657.2,21684.70588235294,0.11743222513041972
87194,2021-02-22,205.6,26.29056603773585,0.12787240290727553
432465,2021-03-25,8201.8,803.2438625204583,0.0979350706577164
470014,2021-03-25,5.0,1.3571428571428572,0.27142857142857146
43261,2021-03-31,15.8,5.035335689045937,0.3186921322180972
83651,2021-04-02,46.0,6.07168458781362,0.13199314321333958
85375,2021-04-02,58.0,9.980535279805352,0.17207819447940262
96054,2021-04-07,104.6,48.98136645962733,0.4682731019084831
102398,2021-04-08,112.2,48.172484599589325,0.42934478252753405
98928,2021-04-10,108.0,48.172916666666666,0.446045524691358
55820,2021-04-14,140.6,58.40963855421687,0.4154312841693945
83654,2021-05-13,573.2,10.062015503875969,0.01755410939266568
214058,2021-06-19,26.4,2.0,0.07575757575757576
1392113492,2021-07-15,183669.4,38310.26900584796,0.2085827525208225
431475,2021-07-21,1027.8,149.19121447028425,0.1451558809790662
208521843,2021-07-24,6.0,1.1764705882352942,0.19607843137254902
1515874322,2021-07-28,10.2,4.019230769230769,0.39404223227752644
1830646420,2021-07-30,13.8,2.6666666666666665,0.19323671497584538
1459247515,2021-08-01,26.8,3.438775510204082,0.12831251903746574
113300,2021-08-03,119.4,45.115566037735846,0.37785231187383456
127265,2021-08-03,118.0,45.72506082725061,0.38750051548517467
87582,2021-08-04,120.0,45.7952380952381,0.38162698412698415
98905,2021-08-04,125.2,45.45873786407767,0.3630889605757002
1457691200,2021-08-04,15.4,3.3068181818181817,0.214728453364817
998294180,2021-08-12,237.2,33.629629629629626,0.1417775279495347
626327313,2021-08-16,7.2,1.9285714285714286,0.26785714285714285
1393720360,2021-08-29,130.2,17.566765578635014,0.13492139461317215
83323,2021-08-30,103.4,9.555555555555555,0.0924134966688158
1392196069,2021-08-31,13.4,5.509433962264151,0.41115178822866794
443783,2021-09-04,116.4,5.741666666666666,0.04932703321878579
314576171,2021-09-14,5.2,1.5,0.28846153846153844
2074287762,2021-09-26,113.8,19.714285714285715,0.17323625407983934
53726,2021-09-30,177.0,25.5,0.1440677966101695
129172,2021-10-25,21064.2,776.8929440389294,0.03688214810146739
387599,2021-11-17,140.4,23.664921465968586,0.16855357169493293
136480,2021-12-19,29708.0,10682.179271708683,0.35957248120737456
95648,2022-01-27,49.2,19.166666666666668,0.3895663956639566
151158,2022-01-27,13.0,6.25,0.4807692307692308
229426,2022-02-02,79.6,11.745762711864407,0.14755983306362322
240934,2022-02-03,75.4,3.1607142857142856,0.04191928760894278
242899,2022-02-03,77.8,4.3076923076923075,0.0553687957286929
1542378,2022-02-03,71.8,4.95,0.06894150417827298
162410,2022-02-04,73.4,7.231884057971015,0.09852703076254787
202056,2022-02-04,72.6,3.9782608695652173,0.05479698167445203
229778,2022-02-04,73.0,3.357142857142857,0.04598825831702544
230354,2022-02-04,79.6,2.48,0.031155778894472363
230701,2022-02-04,71.8,3.0689655172413794,0.04274325232926712
242943,2022-02-04,73.0,2.1578947368421053,0.02956020187454939
243221,2022-02-04,80.6,2.2115384615384617,0.027438442450849403
243334,2022-02-04,83.8,5.4363636363636365,0.0648730744196138
245295,2022-02-04,77.2,2.627906976744186,0.03404024581274852
247215,2022-02-04,70.0,2.0638297872340425,0.029483282674772036
47116,2022-02-07,6.0,1.8271604938271604,0.3045267489711934
133957,2022-02-07,9.2,2.847457627118644,0.30950626381724394
145864,2022-02-07,5.4,1.5662650602409638,0.2900490852298081
153640,2022-02-07,6.4,1.620253164556962,0.2531645569620253
200715,2022-02-07,9.6,2.9491525423728815,0.3072033898305085
47921,2022-02-09,30.6,2.761904761904762,0.09025832555244319
77331,2022-02-09,21.6,2.4166666666666665,0.1118827160493827
130841,2022-02-09,23.2,2.8157894736842106,0.12137023593466426
153492,2022-02-09,26.2,3.2576687116564416,0.12433850044490236
250080,2022-02-09,28.2,2.6744186046511627,0.09483753917202704
400168,2022-02-09,25.8,3.341463414634146,0.1295140858385328
403779,2022-02-09,26.8,2.761904761904762,0.10305614783226723
41731,2022-02-10,27.2,2.5789473684210527,0.09481424148606811
48570,2022-02-10,42.2,2.5365853658536586,0.0601086579586175
50276,2022-02-10,28.8,2.302325581395349,0.07994186046511628
55653,2022-02-10,27.2,2.0384615384615383,0.07494343891402715
59451,2022-02-10,37.6,3.282608695652174,0.08730342275670674
74354,2022-02-10,27.0,2.590909090909091,0.09595959595959595
76011,2022-02-10,28.4,1.8604651162790697,0.06550933508024893
79132,2022-02-10,35.8,3.073170731707317,0.08584275786891948
93910,2022-02-10,35.2,6.163636363636364,0.17510330578512395
95540,2022-02-10,33.6,2.891304347826087,0.08605072463768115
106861,2022-02-10,38.2,3.4146341463414633,0.0893883284382582
108440,2022-02-10,38.0,2.658536585365854,0.0699614890885751
111114,2022-02-10,31.8,3.3095238095238093,0.10407307577118897
113273,2022-02-10,39.6,3.6363636363636362,0.09182736455463728
130112,2022-02-10,36.6,2.86046511627907,0.0781547845977888
131839,2022-02-10,34.4,2.875,0.08357558139534885
147740,2022-02-10,28.8,2.5,0.08680555555555555
164274,2022-02-10,30.8,2.404255319148936,0.07806023763470572
168201,2022-02-10,41.2,2.953488372093023,0.07168661097313163
174734,2022-02-10,30.4,3.0697674418604652,0.10097919216646267
176133,2022-02-10,36.4,3.323529411764706,0.09130575307045896
176727,2022-02-10,32.0,2.575,0.08046875
187441,2022-02-10,33.4,3.425,0.10254491017964072
193248,2022-02-10,33.2,2.1914893617021276,0.0660087157139195
207701,2022-02-10,40.2,2.3,0.057213930348258696
227935,2022-02-10,28.0,3.0,0.10714285714285714
253186,2022-02-10,29.2,2.5357142857142856,0.08683953033268102
305230,2022-02-10,31.4,2.775,0.08837579617834394
318701,2022-02-10,34.6,2.7857142857142856,0.08051197357555738
322725,2022-02-10,37.8,3.6979166666666665,0.09782848324514992
328464,2022-02-10,42.2,2.825,0.0669431279620853
373321,2022-02-10,27.0,2.109090909090909,0.07811447811447811
445379,2022-02-10,37.4,2.627906976744186,0.07026489242631513
457851,2022-02-10,37.6,2.871794871794872,0.07637752318603382
458857,2022-02-10,26.0,2.26,0.08692307692307691
466000,2022-02-10,33.0,2.257142857142857,0.0683982683982684
250732487,2022-02-10,26.6,2.525,0.09492481203007518
739163405,2022-02-10,114.8,27.861538461538462,0.24269632806218172
1004157220,2022-02-10,115.8,32.07738095238095,0.2770067439756559
1041544707,2022-02-10,115.0,24.084269662921347,0.20942843185149
1055924553,2022-02-10,118.6,23.083769633507853,0.19463549438033603
141177,2022-02-11,35.2,2.3714285714285714,0.06737012987012987
194379,2022-02-11,35.8,2.1951219512195124,0.061316255620656776
86200,2022-02-12,27.6,1.7954545454545454,0.06505270092226613
136835,2022-02-12,26.6,1.4444444444444444,0.05430242272347535
321957,2022-02-12,27.8,1.6666666666666667,0.05995203836930456
441296,2022-02-12,30.0,1.4878048780487805,0.04959349593495935
206215,2022-02-13,34.0,1.4791666666666667,0.04350490196078432
212087,2022-02-13,36.2,1.6511627906976745,0.04561223178722857
57429,2022-02-14,10.4,2.28,0.2192307692307692
571184990,2022-03-16,35595.8,11243.851851851852,0.31587580141061167
151708,2022-04-15,11.4,5.0,0.43859649122807015
108478,2022-04-20,12.6,1.0,0.07936507936507936
179056,2022-05-01,371.4,37.666666666666664,0.1014180577993179
1396889702,2022-06-22,2673.0,622.3076923076923,0.23281245503467723
116281,2022-06-25,446.8,157.92696629213484,0.35346232384094634
137321,2022-06-25,452.4,156.20555555555555,0.34528195304057374
104634312,2022-06-25,460.2,169.3913043478261,0.368081930351643
398506290,2022-06-26,768.6,162.41011235955057,0.21130641732962602
89625,2022-07-08,89.4,20.960526315789473,0.23445778876722004
132055,2022-07-08,80.2,23.593406593406595,0.2941821270998328
52275,2022-07-11,72.4,19.810526315789474,0.27362605408548996
145865,2022-07-11,67.8,21.42222222222222,0.3159619796787938
346245,2022-07-11,54.0,19.582417582417584,0.3626373626373627
1418361337,2022-07-11,62.4,19.484536082474225,0.31225218080888184
54308,2022-07-12,64.0,21.032967032967033,0.3286401098901099
55456,2022-07-12,71.4,20.63157894736842,0.2889576883384933
98989,2022-07-12,65.6,21.093525179856115,0.32154763993683105
295524,2022-07-12,74.8,20.133333333333333,0.26916221033868093
1982608547,2022-07-12,67.6,20.477777777777778,0.30292570677186065
66572,2022-07-21,124.0,19.375,0.15625
313661,2022-07-22,311.6,146.01290322580644,0.46859083191850587
432481,2022-07-22,311.8,148.0700636942675,0.47488795283600865
482617,2022-07-22,327.8,150.42948717948718,0.45890630622174244
58594608,2022-07-22,326.6,152.41176470588235,0.46666186376571445
