agent_id,label,volume_cv,burst_frac,volume_autocorr_time
1006025140,bot,0.9824500091584191,0.04013961605584642,4.0
1112403889,bot,1.2098807214557639,0.01276595744680851,26.0
1113551025,bot,0.6552438228530376,0.09375,5.0
1113551316,bot,0.9753299413883701,0.08247422680412371,1.0
1162507608,bot,2.6513980926946945,0.07954545454545454,6.0
1167784048,bot,2.1757383170923412,0.047619047619047616,7.0
1182223835,bot,1.9877299870998164,0.02925531914893617,1.0
118519,bot,0.6405666184418564,0.03896103896103896,4.0
118619285,bot,1.5074931272274648,0.024149286498353458,100.0
1210487955,bot,3.884610912320536,0.06493506493506493,4.0
1215949374,bot,2.290196707719765,0.09090909090909091,3.0
1216003577,bot,0.8270588526620511,0.013333333333333334,15.0
122220535,bot,0.47358044646713887,0.03618421052631579,7.0
1232361541,bot,5.838407940258748,0.0273972602739726,6.0
1237807579,bot,5.529551561506748,0.027777777777777776,5.0
1243255859,bot,1.8377787837896262,0.08450704225352113,8.0
1248835248,bot,3.807410311808047,0.05714285714285714,4.0
1254351146,bot,1.8175096682157124,0.1,2.0
1270329611,bot,5.353813086931501,0.030303030303030304,2.0
1275770934,bot,5.149694851909471,0.03076923076923077,2.0
1279461476,bot,0.7901055240818355,0.05555555555555555,2.0
1281632078,bot,5.162112662878933,0.03125,2.0
1287042277,bot,3.500212242397982,0.06349206349206349,3.0
1288383342,bot,1.4444601803647494,0.055900621118012424,1.0
1292551458,bot,2.480746793596457,0.046875,2.0
129463785,bot,2.816668720278425,0.07462686567164178,16.0
1304475230,bot,0.44068641400551967,0.017699115044247787,13.0
1308167667,bot,3.581741865316503,0.06779661016949153,4.0
1313555060,bot,4.750708612900087,0.034482758620689655,5.0
1319005705,bot,1.81426144955321,0.06896551724137931,2.0
1324553664,bot,3.022572436397378,0.07142857142857142,4.0
1331154337,bot,1.6512465147100208,0.012121212121212121,12.0
1335722776,bot,2.2989410663379966,0.07272727272727272,4.0
1364011574,bot,0.540959002340875,0.058823529411764705,1.0
1364754604,bot,1.4287538841301748,0.0325,1.0
136525569,bot,1.0659159092713333,0.05908096280087528,2.0
1386493211,bot,1.214547497776888,0.036297640653357534,35.0
139061,bot,0.3446634431417564,0.02770330652368186,24.0
139062,bot,2.838491007122302,0.007731958762886598,41.0
1392108797,bot,0.5394629973965124,0.016793893129770993,45.0
1392110021,bot,0.3400227004507224,0.026234567901234566,2.0
1392206068,bot,0.27666385596020154,0.036753445635528334,7.0
1392278360,bot,5.26321824197694,0.013986013986013986,3.0
1393037923,bot,0.5571819444949193,0.045454545454545456,1.0
1396685267,bot,8.510099429528616,0.006289308176100629,1.0
1397310748,bot,0.3769291821648151,0.030694668820678513,5.0
1402137956,bot,1.4117692271328406,0.040983606557377046,2.0
1411210129,bot,1.1390364497369623,0.07692307692307693,8.0
1417297960,bot,1.4625798843178142,0.0696969696969697,5.0
1475735494,bot,2.3288195399104903,0.08465608465608465,1.0
154843,bot,4.082335353750558,0.007984031936127744,81.0
158923,bot,4.533950847236329,0.011320754716981131,2.0
1591140711,bot,0.36391279878000965,0.009554140127388535,44.0
161740595,bot,0.5308904156317865,0.05660377358490566,12.0
166409186,bot,2.7239119686306243,0.010238907849829351,3.0
171495,bot,0.7404373734731039,0.03074141048824593,100.0
175647600,bot,1.3010010356319108,0.05333333333333334,1.0
1764948495,bot,1.9223378760446836,0.06666666666666667,1.0
177688,bot,2.3376430720484964,0.09316770186335403,55.0
1832240608,bot,2.005765193803604,0.03690036900369004,2.0
1837229548,bot,1.1464105815043921,0.06923076923076923,1.0
186118,bot,0.6529665683123596,0.016359918200409,35.0
190716712,bot,1.6230244664893156,0.014245014245014245,28.0
1935821386,bot,0.6772178593527568,0.057096247960848286,4.0
1944045799,bot,0.8197241071824537,0.04230769230769231,2.0
194910861,bot,3.8938324767040715,0.02491103202846975,21.0
1954318077,bot,6.474685532568613,0.023529411764705882,1.0
2004611455,bot,0.21922109189261185,0.029556650246305417,12.0
2004885041,bot,0.7626944020589085,0.02834008097165992,15.0
2005874068,bot,0.7989676638809141,0.05737704918032787,100.0
2008513034,bot,0.0764156160901029,0.00392156862745098,1.0
2080900357,bot,0.489517365356528,0.043333333333333335,2.0
2080904040,bot,0.38936317500282347,0.06666666666666667,15.0
208347,bot,0.2279971285177335,0.004366812227074236,17.0
21039429,bot,0.19037591875122456,0.00974025974025974,3.0
210715,bot,0.2911037094354598,0.021834061135371178,13.0
210716,bot,0.1922480290995308,0.019693654266958426,4.0
212640,bot,0.2937250026009303,0.02188183807439825,13.0
212641,bot,0.2198338190141721,0.030973451327433628,6.0
2136116610,bot,2.3030553610763524,0.05133928571428571,2.0
213931,bot,0.546860462249764,0.022727272727272728,12.0
213932,bot,0.4603415506743123,0.022727272727272728,9.0
214109,bot,0.3329396469987841,0.009345794392523364,14.0
214110,bot,0.25262517632196196,0.009345794392523364,9.0
2142961666,bot,0.460712271211456,0.034904013961605584,36.0
2144216834,bot,1.66742566784166,0.08061420345489444,17.0
218005,bot,0.10563244220521512,0.0043859649122807015,12.0
226656593,bot,1.4815440128150512,0.021739130434782608,1.0
231645,bot,0.15061221921998724,0.004464285714285714,6.0
231646,bot,0.15416849389307685,0.004464285714285714,6.0
232079768,bot,1.7793248379631506,0.04092071611253197,22.0
233123,bot,1.7355163658238262,0.045081967213114756,9.0
233851,bot,1.6072189105497188,0.05094130675526024,2.0
234720364,bot,0.8565304961024942,0.06666666666666667,3.0
234895797,bot,0.9874972733731147,0.031446540880503145,26.0
242555,bot,1.0173644725604154,0.0431266846361186,10.0
