log_hits,p200,evasion_index,ip_ent,url_ent,robots,html,php,activity_rate,husource,agent_id,label,component,strategy
3.1714146201727473,0.7000423781849914,0.4789890034089587,0.7025492495636998,0.530395130191972,0.026253796335078534,0.04143704816753927,0.07455672687609076,0.6063492063492063,5.629685863874345e-05,1006025140,bot,2,evasive
6.872864243064077,0.43921790709219855,0.213100872692435,0.38499101036879435,0.2942946182836879,0.38963878150354614,0.031726310468085106,0.00656058990680851,0.7613390928725702,1.2366524822695036e-06,1112403889,bot,2,evasive
8.641567420318195,0.23472014583333325,0.06867715859930555,0.20436581033125,0.0018596236875,0.9955942499999999,0.000555686625,0.00017978679166666663,0.4444444444444444,0.0,1113551025,bot,2,evasive
10.773700448858964,0.9149428144329895,0.011522369513470791,0.013767244442886599,0.3489166804123711,0.0006585915154639177,0.3157220618556701,0.3082973814432989,0.2360097323600973,5.096671134020618e-06,1113551316,bot,2,evasive
4.231633092502741,0.9715494886363637,0.28415890916666664,0.4000628353409091,0.3211161931818181,0.0,0.0008613534090909092,0.18747275340909092,0.21782178217821782,0.0,1162507608,bot,2,evasive
6.454599402147841,0.9494744404761905,0.07427676038888889,0.1729399705952381,0.4053227142857142,0.0,0.2027735154761905,0.10541795476190477,0.4117647058823529,0.0,1167784048,bot,2,evasive
3.9257055665447482,0.9965950478723403,0.3590570337588653,0.5988057327127659,0.9083113723404256,0.029240963297872343,0.0,0.01527032005319149,0.5497076023391813,0.0,1182223835,bot,2,evasive
3.8394057630762535,0.6667886940836941,0.10637867074555075,0.11837090595959594,0.14218274733044733,0.3825746363636364,0.005342946017316018,0.002505475367965368,0.4978448275862069,0.00010976176046176047,118519,bot,2,evasive
7.150584363287567,0.968884958287596,0.008501194117892425,0.007086607316245884,0.3007130935236004,0.04111517339187706,1.6891704720087815e-05,0.00023183623271130625,0.7991228070175439,0.0,118619285,bot,2,evasive
6.270865673728488,0.9756991948051948,0.9199247306926407,0.919921901909091,0.9437287402597403,0.0,0.9389104025974025,0.007869032467532467,0.39086294416243655,0.0,1210487955,bot,2,evasive
