a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
141669,ctrl_hpneg,control,113,554,0.01825221238938053,0.005850540806293019,1,4,0,0.0,0.0,4.0,0.0,0.0,-0.17299046420650438,0.29875,0.013703703703703702
141704,ctrl_hpneg,control,33,388,0.009445100354191263,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.24948710391965934,0.002666666666666667,0.0
141710,bot_hp,bot,135,485,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
141711,bot_hp,bot,119,431,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
141723,bot_hp,bot,113,711,0.015644753476611883,0.0011061946902654867,1,4,0,0.0,0.0,2.0,0.0,0.0,-0.04489502200479023,-0.15499999999999997,-0.004166666666666667
141728,bot_hp,bot,180,1120,0.10100987665680648,0.00012077294685990338,1,65,0,0.0,0.0,10.0,0.0,0.3784175938885617,0.1107827839276885,0.011285714285714293,0.0
141734,bot_hp,bot,95,5823,0.03409090909090909,0.0,0,6,0,0.0,1.0,4.0,0.0,0.0,0.2513317817721348,-0.11583333333333332,0.0
141735,bot_hp,bot,243,3840,0.07781575791176906,0.004991030916956843,1,63,0,0.0,1.0,11.0,0.0,0.07844025495620655,-0.12765093914397274,0.021212121212121213,0.03333333333333333
141736,bot_hp,bot,106,541,0.02665556788753237,0.0,0,9,0,0.0,0.0,7.0,0.0,0.0,-0.024208510296777255,-0.16428571428571428,0.0
141739,bot_hp,bot,208,2076,0.08335110536301707,0.0,0,65,0,0.0,1.0,11.0,0.0,0.0,0.02771403613170205,0.060227272727272727,0.0
141740,bot_hp,bot,115,507,0.029030427215097767,0.004069923800986105,1,9,0,0.0,0.0,1.0,0.026804123711340205,0.8405607789134217,0.6972710380004925,0.018556701030927852,0.015601374570446736
141741,ctrl_hpneg,control,104,1371,0.03766722408026756,0.00467032967032967,1,6,0,0.0,0.0,4.0,0.0,0.0,0.18650644019370555,-0.07442028985507247,0.002857142857142856
141744,bot_hp,bot,143,1001,0.09686167584871823,0.0,0,57,0,0.0,-1.0,9.0,0.0,0.0,0.005983775123882682,-0.001851851851851852,0.0
141749,bot_hp,bot,145,1025,0.11637922566925173,0.006551724137931034,1,62,0,0.0,-1.0,9.0,-0.006666666666666667,0.22231676158151614,-0.0887061120172122,0.04083333333333334,0.0
141750,ctrl_hpneg,control,169,1144,0.11009052002143534,0.0,0,64,0,0.0,0.0,12.0,0.0,0.0,0.20052295532648504,-0.0724867724867725,0.0
141880,bot_hp,bot,200,449,0.010166666666666666,0.012446428571428572,1,4,0,1.0,0.0,4.0,0.0,0.0,0.1718782512916515,-0.025,0.0
141944,ctrl_hpneg,control,161,1051,0.11017111364813308,0.0,0,65,0,0.0,-1.0,12.0,0.0,0.0,-0.04876930604861498,0.03777777777777778,0.0
141986,bot_hp,bot,519,2317,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142030,ctrl_hpneg,control,1,1,0.0,0.0,0,0,0,,,,,,,,
142057,bot_hp,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
142074,bot_hp,bot,148,1081,0.10037153090752161,0.0016891891891891893,1,62,0,0.0,-1.0,9.0,0.005555555555555556,0.190515862349803,0.06313471218838387,0.019444444444444445,0.0
142078,bot_hp,bot,162,2112,0.0915626211100713,0.00030864197530864197,1,60,0,0.0,-1.0,9.0,0.0011111111111111111,0.19938172472141039,0.08536827240456013,-0.06666666666666668,0.0
142089,bot_hp,bot,96,119,0.005208333333333333,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.044628710262841986,-0.33333333333333326,0.0
142117,bot_hp,bot,6,10,0.0,0.0,0,0,0,,,,,,,,
142128,ctrl_hpneg,control,27,1033,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
