a_death,a_succ,t_A,shared_hp,rare_score,min_pop,jaccard,in_core,bA_pre,dA_b,dA_v,bB_post,dB_b,dB_v,dB_v_placebo
136756,41597,2019-10-02,1,0.0014144271570014145,707,0.025,0,,,4.219507705176107,0.7605597690994156,-1.0434430787390125,0.9808292530117262,0.6931471805599453
136756,49642,2019-10-02,1,0.0014144271570014145,707,0.1111111111111111,0,,,4.219507705176107,1.9900196075874226,-0.04728346111365345,0.9873866535578855,3.20545280453606
136756,48588,2019-10-02,1,0.0014144271570014145,707,0.14285714285714285,0,,,4.219507705176107,2.6001995018820665,0.04572665434313672,-0.06453852113757108,0.47000362924573547
136756,48496,2019-10-02,1,0.0014144271570014145,707,0.1,0,,,4.219507705176107,-0.05252161110542118,-0.3147734768417981,0.6840449249151801,0.7814846418176318
136756,48473,2019-10-02,1,0.0014144271570014145,707,0.02631578947368421,0,,,4.219507705176107,1.1966477937448103,-0.7000771895437086,0.5389965007326873,-3.4657359027997265
136756,48293,2019-10-02,1,0.0014144271570014145,707,0.05,0,,,4.219507705176107,-0.5736157396173521,0.0333759712504057,0.032807175047112835,0.1736031057540739
136756,48155,2019-10-02,1,0.0014144271570014145,707,0.14285714285714285,0,,,4.219507705176107,2.6238271369876505,0.3071592563725889,0.0,0.0
136756,47978,2019-10-02,1,0.0014144271570014145,707,0.023255813953488372,0,,,4.219507705176107,0.9198066314269305,-1.7040205055607198,2.197224577336219,1.0986122886681098
136756,47059,2019-10-02,1,0.0014144271570014145,707,0.1,0,,,4.219507705176107,2.1876762480476146,-0.43615088894003584,1.0986122886681098,0.0
136756,46981,2019-10-02,1,0.0014144271570014145,707,0.16666666666666666,0,,,4.219507705176107,2.3166678806150616,0.0,0.0,0.0
136756,46541,2019-10-02,1,0.0014144271570014145,707,0.05555555555555555,0,,,4.219507705176107,0.6444503297223025,-1.979376807265348,3.191847152480281,1.0986122886681098
136756,46003,2019-10-02,1,0.0014144271570014145,707,0.125,0,,,4.219507705176107,2.601887190103894,0.025315323327411043,0.0,0.916290731874155
136756,55652,2019-10-02,1,0.0014144271570014145,707,0.25,0,,,4.219507705176107,2.6238271369876505,,0.6931471805599453,0.0
136756,55497,2019-10-02,1,0.0014144271570014145,707,0.023809523809523808,0,,,4.219507705176107,1.6790759673822322,-0.2394886369464293,0.6854251344660351,-3.6635616461296463
136756,54655,2019-10-02,1,0.0014144271570014145,707,0.1111111111111111,0,,,4.219507705176107,2.5271973478089222,0.17134758056120303,-1.6582280766035322,-0.6931471805599454
89399,48474,2020-02-07,2,0.059041835357624826,19,0.07142857142857142,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-3.4708483664331857,,11.529035006703296,0.0
89399,264707,2020-02-07,2,0.059041835357624826,19,0.0625,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-5.063613641500183,-0.15051864185767272,0.11201533818547915,-0.7681678785573016
89399,256289,2020-02-07,2,0.059041835357624826,19,0.13333333333333333,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-4.7428603481808,-0.48342863889075716,0.475480651373017,-0.8512919685913225
89399,96053,2020-02-07,2,0.059041835357624826,19,0.125,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-4.454206619820863,-0.3686625446522207,0.1458523047085496,-0.8477564364876926
89399,265155,2020-02-07,2,0.059041835357624826,19,0.06666666666666667,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-5.0632322376166625,-0.15089046257646732,0.11212851923396272,-0.768464171139815
89399,264708,2020-02-07,2,0.059041835357624826,19,0.06666666666666667,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-5.063127314237241,-0.15060405956730794,0.11221914107365905,-0.7662288125819945
89399,92118,2020-02-07,1,0.05263157894736842,19,0.014285714285714285,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,2.6238271369876505,1.8165206182318654,-2.3978952727983707,0.0
89399,307210,2020-02-07,1,0.05263157894736842,19,0.14285714285714285,1,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-1.1972148661501298,0.5776800380676725,-1.7234013663781216,-0.5792000863860398
89399,44737,2020-02-07,1,0.00641025641025641,156,0.07142857142857142,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-1.8720446840643274,0.08238271930868324,-0.18568307314196986,-0.861131199092263
89399,45672,2020-02-07,1,0.00641025641025641,156,0.1111111111111111,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-1.96360851646114,-0.1525366037640925,0.14443929424270685,-0.9108158813911871
89399,47344,2020-02-07,1,0.00641025641025641,156,0.030303030303030304,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,2.3612810284816224,0.06437192726227581,0.5108256237659905,1.252762968495368
89399,81168,2020-02-07,1,0.00641025641025641,156,0.1111111111111111,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,2.253937593261141,-0.238616489473495,0.5705448584676129,1.669157147135723
89399,83062,2020-02-07,1,0.00641025641025641,156,0.034482758620689655,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-1.6466932108397818,-0.0177181879856958,0.019552976932763144,-0.8886224215978658
89399,92040,2020-02-07,1,0.00641025641025641,156,0.07692307692307693,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,1.2992882667429233,0.1300571784482618,-0.25534669180884517,-1.1122179407238884
89399,93339,2020-02-07,1,0.00641025641025641,156,0.1,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,2.6238271369876505,0.06143185127451778,-0.5596157879354227,-1.5723966407537509
89399,106835,2020-02-07,1,0.00641025641025641,156,0.125,0,-2.2479072135774456,0.23234345868923167,-1.7272003372329028,-0.9933983280031727,,5.4680601411351315,0.0
