label,stage,n,visible,evasive,mimicry
bot,early,170,0.28823529411764703,0.711764705882353,0.0
bot,mid,170,0.2529411764705882,0.7470588235294118,0.0
bot,late,170,0.2647058823529412,0.7294117647058823,0.0058823529411764705
chrome,early,1180,0.7652542372881356,0.19661016949152543,0.038135593220338986
chrome,mid,1180,0.7974576271186441,0.1788135593220339,0.023728813559322035
chrome,late,1180,0.785593220338983,0.2093220338983051,0.005084745762711864
