a_death,a_succ,t_A,shared_hp,rare_score,min_pop,jaccard,in_core,bA_pre,dA_b,dA_v,bB_post,dB_b,dB_v,dB_v_placebo
62776894,41873,2020-01-23,1,0.002028397565922921,493,0.05555555555555555,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-3.4075334835968762,-0.14048622222842555,0.17740038056694551,0.04965891436695813
62776894,42449,2020-01-23,1,0.002028397565922921,493,0.2,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-0.23372304800059687,-0.308922857252839,0.5656863179014531,0.32309411067503735
62776894,43253,2020-01-23,1,0.002028397565922921,493,0.25,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,1.878950535410369,0.1670655952750988,-0.5596157879354227,0.03846628082779624
62776894,43730,2020-01-23,1,0.002028397565922921,493,0.3333333333333333,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,1.878950535410369,0.26525754993190365,-1.7047480922384253,-1.3862943611198904
62776894,44078,2020-01-23,1,0.002028397565922921,493,0.5,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,0.13085510689677587,-0.13349979450650834,0.5209779952300089,0.3224681885371963
62776894,45120,2020-01-23,1,0.002028397565922921,493,0.14285714285714285,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,1.054530816476959,0.055805478049151036,-0.0680534632450156,-0.03774032798284743
62776894,138294,2020-01-23,1,0.002028397565922921,493,0.0625,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-1.31445170128684,0.039716715991397145,-0.03871451218069044,-0.22216321247419035
62776894,138291,2020-01-23,1,0.002028397565922921,493,0.05555555555555555,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-0.8729068757655278,0.00036960929163676326,-0.003612285685913541,-0.45791655911254914
62776894,138284,2020-01-23,1,0.002028397565922921,493,0.07692307692307693,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,0.2587813778638118,0.15066694182721432,0.06634194813672156,-0.19076042543981853
62776894,138283,2020-01-23,1,0.002028397565922921,493,0.09090909090909091,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,0.6712816821325006,0.12925679376526988,-0.040166041725334445,-0.3596555720768704
62776894,137370,2020-01-23,1,0.002028397565922921,493,0.1111111111111111,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-1.1357447392524147,-0.0013060854865307725,0.015504186535965303,1.5271292649713777
62776894,131846,2020-01-23,1,0.002028397565922921,493,0.02631578947368421,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,-1.257698596132548,-0.3747373287461718,0.764340272956499,2.6601250473187816
62776894,126785,2020-01-23,1,0.002028397565922921,493,0.25,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,1.2446746736259826,-0.16534097265158065,0.35139788683788886,-0.2682639865946794
62776894,125851,2020-01-23,1,0.002028397565922921,493,0.125,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,0.8423686667382909,0.00121369382673564,0.0,0.04820210181787754
62776894,125505,2020-01-23,1,0.002028397565922921,493,0.07142857142857142,0,-1.2559283607349234,1.5998107629694986,-1.422640333766064,0.45106915379108775,0.05419186764409678,-0.12233885219224394,0.11944003686401317
288882,543125625,2020-08-12,2,0.01943295630076237,61,0.034482758620689655,0,,,2.70805020110221,1.1018288283955775,-0.3995783537041657,0.6931471805599454,0.916290731874155
288882,551495238,2020-08-12,2,0.01943295630076237,61,0.03571428571428571,0,,,2.70805020110221,1.7665509200754503,-0.05164848978033709,0.4054651081081646,1.7635885922613586
288882,593279071,2020-08-12,2,0.01943295630076237,61,0.03225806451612903,0,,,2.70805020110221,1.5014071820997432,-0.4291664139809521,-0.2876820724517808,1.1239300966523995
288882,597667031,2020-08-12,2,0.01943295630076237,61,0.03571428571428571,0,,,2.70805020110221,1.13227386294306,-0.36913331915668324,1.203972804325936,1.1451323043030028
288882,468778,2020-08-12,1,0.01639344262295082,61,0.3333333333333333,0,,,2.70805020110221,1.553831619260226,0.5802133174383224,-0.18232155679395468,-0.6931471805599453
288882,327363695,2020-08-12,1,0.01639344262295082,61,0.08333333333333333,0,,,2.70805020110221,-0.965003929200124,0.0002528129492485043,0.24053529402607943,-0.0011500863832374364
288882,175533,2020-08-12,1,0.01639344262295082,61,0.07142857142857142,0,,,2.70805020110221,1.0830637542863841,-0.040800074502733485,0.32047189527477205,0.13133600206108653
