a_id,t_death,pre_vol,tail_vol,drop_ratio
1085628408,2021-03-25,0.0,0.0,0.0
1090944717,2021-03-25,0.0,0.0,0.0
1090944712,2021-03-25,0.0,0.0,0.0
1090944688,2021-03-25,0.0,0.0,0.0
1090944683,2021-03-25,0.0,0.0,0.0
1090944472,2021-03-25,0.0,0.0,0.0
1090944468,2021-03-25,0.0,0.0,0.0
1085629764,2021-03-25,0.0,0.0,0.0
1133359676,2021-03-25,0.0,0.0,0.0
1085628387,2021-03-25,0.0,0.0,0.0
463980899,2021-06-19,0.0,0.0,0.0
463644553,2021-06-19,0.0,0.0,0.0
463274633,2022-09-24,0.0,0.0,0.0
436186,2022-09-24,0.0,0.0,0.0
132032,2022-09-24,0.0,0.0,0.0
162037,2023-01-12,0.0,0.0,0.0
1099276408,2023-01-13,0.0,0.0,0.0
469898,2023-02-07,0.0,0.0,0.0
