a_id,group,intensity,pre_O,post_O,dO,pre_logvol,dvol,kind
12,control,0.005208333333333333,1.9868708037082876,2.076091121746207,0.08922031803791919,5.33464663259483,0.11364096127812662,stealth
12,control,0.0031746031746031746,2.1487285533138003,2.20795448636121,0.05922593304740964,5.560327674655911,0.06058773188875399,stealth
12,control,0.005780346820809248,2.2505714446306597,2.3020329322494644,0.05146148761880465,5.67176075916174,0.062494406955658555,stealth
12,control,0.027972027972027972,2.1677876983270243,2.216652904406888,0.048865206079863555,5.597214018534956,0.04638745271631883,stealth
12,control,0.0025252525252525255,1.5498156418084776,2.203970378271671,0.6541547364631932,4.79880781150724,0.8060202796312943,stealth
12,control,0.0022675736961451248,2.309718594389107,2.2155096897110305,-0.09420890467807652,5.737102672182242,-0.12283980883666779,stealth
12,control,0.0035587188612099642,2.5795984667647742,2.6926878293225442,0.11308936255777002,6.0745621603164555,0.13491140243581512,stealth
12,control,0.0021231422505307855,2.550842090434356,2.6287166673967026,0.07787457696234679,6.035236702537075,0.09400685011676746,stealth
12,control,0.0024330900243309003,2.262206415583271,2.5637763953778485,0.30156997979457767,5.674148382084894,0.3959962671463,stealth
12,control,0.004842615012106538,2.5170963309586702,2.6912727775863203,0.17417644662765008,6.008007308875019,0.199387156614387,stealth
12,control,0.002232142857142857,2.674366816697339,2.6528758004145025,-0.02149101628283656,6.187706450926756,-0.02279713155381291,stealth
12,control,0.002386634844868735,2.5490565913354417,2.561571466982347,0.012514875646905121,6.030942728798137,0.01551484849012752,stealth
12,control,0.0020833333333333333,2.5441364576236634,2.590973698204683,0.04683724058101957,6.0259370815923905,0.055467961990268044,stealth
12,control,0.015151515151515152,1.1152767902075889,1.1494710445651404,0.03419425435755152,4.204213850076154,0.031122587123391554,stealth
12,control,0.01282051282051282,1.2070206511754165,1.2115100792733058,0.004489428097889325,4.31473142440873,0.044657376804008386,stealth
12,control,0.025,1.2455528009489878,1.1872276274300657,-0.05832517351892208,4.435504264597154,-0.07918354835393426,stealth
12,control,0.015625,2.489978899751695,2.1528614592770747,-0.33711744047462044,2.1837436464530375,1.4894514173616593,stealth
12,control,0.41025641025641024,1.4780206616505427,1.4025699718757312,-0.07545068977481151,2.400178358918027,-0.5970215034152502,stealth
12,control,0.08333333333333333,0.8394990487250013,0.5941630767518807,-0.24533597197312051,2.3304505060382654,0.3557190094588094,stealth
12,control,0.022727272727272728,1.2471417059021197,3.672233266933597,2.4250915610314774,3.143769435892105,-0.547149173877941,stealth
