lifecycle_drift,adaptation_time,oscillation,osc_period,agent_id,label,n_active
3.4367409261627517,4.0,0.0888204682279171,573.0,1006025140,bot,573
1.8336229413426783,32.0,0.25225894144950284,705.0,1112403889,bot,705
2.010845344090797,17.0,0.524926917381028,96.0,1113551025,bot,96
2.055227703672809,1.0,0.04128808277626625,97.0,1113551316,bot,97
3.043416371187814,16.0,0.25534270892910815,44.0,1162507608,bot,88
1.6274541150894584,16.0,0.4050428843431293,84.0,1167784048,bot,84
1.8871521716900759,1.0,0.04377865978685475,94.0,1182223835,bot,376
1.8892288264303796,50.0,0.24586132483146841,693.0,118519,bot,693
1.3326986202184614,1.0,0.009469346900240995,455.5,118619285,bot,911
4.080562204374574,4.0,0.26806308106352894,77.0,1210487955,bot,77
2.176562806540995,1.0,0.11256862753303622,77.0,1215949374,bot,77
2.2955062329760696,2.0,0.10650905551093538,75.0,1216003577,bot,75
1.1730081428702672,1.0,0.03322373296198787,304.0,122220535,bot,304
4.186871961998407,7.0,0.42180591323071565,73.0,1232361541,bot,73
3.5093385781605875,7.0,0.3416280823181285,36.0,1237807579,bot,72
2.9801018250921136,15.0,0.3076415760237773,35.5,1243255859,bot,71
3.3639932843558995,6.0,0.40870463990799555,70.0,1248835248,bot,70
2.8005569328301174,1.0,0.06167092088268828,70.0,1254351146,bot,70
4.3955813639252845,13.0,0.3960686011681206,66.0,1270329611,bot,66
1.5368366414850205,14.0,0.24729732966899115,32.5,1275770934,bot,65
3.8772715876771575,1.0,0.06911904793792988,72.0,1279461476,bot,72
1.408280751514294,13.0,0.4344984052639461,32.0,1281632078,bot,64
4.55370627900303,12.0,0.1946832450871515,31.5,1287042277,bot,63
2.044281778726573,1.0,0.08563201969199599,3.9268292682926833,1288383342,bot,161
3.411510304818368,2.0,0.10584285972755357,64.0,1292551458,bot,64
5.472337982000213,13.0,0.16257867051660668,201.0,129463785,bot,402
0.6454493038339558,16.0,0.2520332780251134,226.0,1304475230,bot,452
2.626101268851557,13.0,0.332211149437523,29.5,1308167667,bot,59
6.959312409554254,13.0,0.2895576795795131,58.0,1313555060,bot,58
4.232899729986179,1.0,0.07076225638778913,29.0,1319005705,bot,58
2.4077438223577974,12.0,0.27869591873975724,28.0,1324553664,bot,56
2.173891955464414,2.0,0.08844019167896301,55.0,1331154337,bot,165
2.856358528249155,9.0,0.20379788495306891,27.5,1335722776,bot,55
1.7006387639897669,1.0,0.1337713804232347,25.5,1364011574,bot,51
1.3384828728425437,1.0,0.09902446108002777,400.0,1364754604,bot,400
0.9270341160121371,1.0,0.02431207046875557,91.4,136525569,bot,457
1.230580795696111,28.0,0.3012234573049491,275.5,1386493211,bot,551
2.6643380071293183,100.0,0.25598819605002543,559.5,139061,bot,1119
1.3636124478274758,27.0,0.2370540041391086,388.0,139062,bot,776
1.0209593343706216,1.0,0.03548041327362473,655.0,1392108797,bot,655
0.48453500522533155,5.0,0.057536560500245186,32.4,1392110021,bot,648
1.4431923751532487,1.0,0.029778647383185947,653.0,1392206068,bot,653
2.2308379317655853,4.0,0.1264388354196641,95.33333333333333,1392278360,bot,286
1.154716760061111,1.0,0.06059345937922535,2.0,1393037923,bot,66
1.1906320546631695,2.0,0.07171532161250944,318.0,1396685267,bot,636
0.570105749087464,3.0,0.07609067080118555,619.0,1397310748,bot,619
2.087854715998556,5.0,0.20585971103286477,61.0,1402137956,bot,122
3.304946477349232,1.0,0.0991058637740917,10.399999999999999,1411210129,bot,52
3.0104036641849587,2.0,0.1848227640820446,330.0,1417297960,bot,330
1.1530535675908697,1.0,0.057683331664453226,7.875,1475735494,bot,189
4.1714370567296895,94.0,0.2609843452650977,250.50000000000003,154843,bot,501
1.9155155322724318,3.0,0.1161814874818747,530.0,158923,bot,530
0.1573514537030886,38.0,0.2599239493724127,628.0,1591140711,bot,628
5.859800329547256,14.0,0.07102795489367476,300.3333333333333,161740595,bot,901
5.9349867716944775,3.0,0.13363298884063923,293.0,166409186,bot,293
1.7449271718121993,27.0,0.18067136031611386,553.0,171495,bot,1106
0.384856385359729,4.0,0.13539373420531303,300.0,175647600,bot,300
1.305152036217246,1.0,0.14969734796412315,9.375,1764948495,bot,75
8.156647756413003,66.0,0.5893662275251603,482.99999999999994,177688,bot,483
2.4049621756326123,2.0,0.06803624854240918,20.846153846153847,1832240608,bot,271
1.719946788696084,1.0,0.06112768768305195,2.03125,1837229548,bot,130
3.5959760522015682,1.0,0.010899851000656257,488.99999999999994,186118,bot,489
4.050283684069423,29.0,0.38134707465057943,351.0,190716712,bot,351
1.2728903736273502,1.0,0.11204892287874109,87.57142857142857,1935821386,bot,613
0.9680837630494544,1.0,0.029162382168166835,10.833333333333332,1944045799,bot,260
1.5501749324428982,1.0,0.018477658726861777,140.5,194910861,bot,281
3.745736991148362,1.0,0.1066499071892213,10.625,1954318077,bot,85
1.2139393664176394,47.0,0.179831066693509,609.0,2004611455,bot,609
0.7880892906640183,3.0,0.06642844399061332,247.0,2004885041,bot,494
0.2489733219213396,95.0,0.1160639379140589,305.0,2005874068,bot,610
1.375732385699034,1.0,0.016321667318445577,255.0,2008513034,bot,255
2.1071975607432276,2.0,0.08744226148104067,600.0,2080900357,bot,600
