a_id,group,n_days,n_block_days,p404_post_lag,p404_post_ccf,p404_pre_lag,p404_pre_ccf,p404_responder,vol_post_lag,vol_post_ccf,vol_pre_lag,vol_pre_ccf,vol_responder
12,control,1110,31,8.0,0.2201985261173981,-14.0,0.29829161355688816,False,4,-0.09570607281572416,-9,-0.10221025043412205,False
23,control,714,597,1.0,-0.07351255174285629,-1.0,-0.07310001413795195,True,1,-0.16030545916962205,-1,-0.1821940865728128,False
45,control,278,3,3.0,-0.011880651197834064,-2.0,0.015577261707597516,False,1,0.23348863233920975,-1,0.2807870638803455,False
55,control,1043,38,11.0,-0.0739964079048132,-13.0,-0.09416280875110059,False,1,0.09436083902856295,-9,-0.08320451333839901,True
58,control,1191,78,6.0,0.13884603379511581,-1.0,0.04869361872082527,True,10,0.13228470941372003,-10,0.125691103639445,True
71,control,845,13,4.0,0.33245777901867274,-11.0,0.19678265227336506,True,6,0.08211825783697022,-2,0.0703991320219612,True
77,control,1055,58,10.0,0.21753340983921315,-4.0,0.1854677243046956,True,10,-0.10602199797817903,-12,-0.14083672354074878,False
92,control,733,294,1.0,0.4020816536464364,-1.0,0.40949350234048126,False,10,0.05208405462762127,-5,0.0310985500344447,True
93,control,1166,27,3.0,-0.061669523637840735,-1.0,0.06136110997690397,True,2,-0.11460202275745726,-3,-0.12335987881543058,False
94,control,669,70,9.0,-0.028595134741389666,-5.0,-0.02716557273713278,True,4,0.12091875183254545,-1,0.10950275942963032,True
99,control,786,27,2.0,-0.023294596561756607,-13.0,0.07159249345343006,False,13,0.10117367860006587,-3,0.146416866292296,False
102,control,1114,130,9.0,0.11380262082659315,-6.0,0.11686349215323313,False,4,-0.17751218854732834,-6,-0.17049711287072938,True
112,control,1186,10,8.0,0.0755517569568688,-14.0,0.1321676679820633,False,4,-0.04803098365254159,-14,-0.048935499352894596,False
113,control,1063,55,1.0,0.15824389965803937,-14.0,0.09243378082010337,True,1,-0.15715417583175978,-6,-0.15511336194542466,True
132,control,701,3,14.0,0.2692110023924825,-5.0,0.08988908507407496,True,1,0.14834281855795278,-4,0.13377671279639616,True
150,control,925,62,14.0,0.16755190432756198,-4.0,0.1537090924285324,True,5,-0.11411360013446908,-9,-0.07629273589185352,True
155,control,845,96,8.0,0.07006584604499502,-3.0,0.0964045876007399,False,9,0.22521242794463653,-2,0.19565712037731128,True
180,control,621,34,5.0,0.12128327431071365,-10.0,0.13771010475361492,False,11,0.10128993574336091,-1,0.09642849167216751,True
189,control,1054,127,10.0,0.16823706641142705,-14.0,0.1375921212342206,True,7,-0.20510072893263345,-12,-0.22666947820909233,False
193,control,646,4,11.0,0.10807588154109797,-2.0,0.15497570214045134,False,11,0.0736570468290142,-1,0.09654374909195172,False
