a_id,t_death,pre_vol,tail_vol
2143743303,2021-05-03,876.6,37.416666666666664
734267369,2020-06-12,150.8,7.358208955223881
295526,2022-03-24,21.0,9.861878453038674
62776894,2020-01-23,174.8,19.91780821917808
410485165,2020-04-02,12.6,6.129032258064516
288882,2020-08-12,189.8,90.80451127819549
20508130,2020-02-14,129.8,9.420245398773005
140562,2022-02-01,123.2,54.9
433836,2019-11-16,81.0,3.8430851063829787
1995668239,2021-04-15,541.8,54.46153846153846
58346,2022-04-04,11.6,1.875
398546316,2021-03-30,268.6,38.78817733990148
1392212967,2021-12-14,171.6,38.04761904761905
2000480378,2021-04-18,197.8,55.57142857142857
458666809,2020-04-16,123.6,11.978260869565217
1392690295,2021-02-02,131.8,22.955555555555556
2080241728,2023-02-26,36.2,1.0
242944,2019-08-17,121.6,5.997950819672131
150176,2021-04-28,8.2,1.8076923076923077
1400548964,2021-07-17,520.8,62.22727272727273
999350225,2020-08-04,49.8,6.116883116883117
128663,2021-05-06,10.2,1.7954545454545454
1992445046,2021-04-09,1082.2,131.53658536585365
379363540,2020-06-30,368.2,149.85496183206106
290038031,2022-05-10,33.2,15.25
2006749624,2021-04-15,281.0,30.0
942886279,2020-09-19,206.0,9.767857142857142
70510456,2020-01-22,23.8,4.65
1919932540,2022-07-15,49.2,11.0
247569,2019-08-29,39.6,16.70175438596491
2004805849,2021-04-14,321.0,65.13333333333334
612258730,2021-12-11,60.2,7.954545454545454
124340,2022-07-29,130.8,30.4
126990,2019-06-18,114.4,6.670411985018727
829360581,2020-08-29,26.2,1.0789473684210527
164210,2021-04-03,7.8,3.58
2046509307,2021-05-31,52.4,13.166666666666666
829425812,2020-07-31,37.0,8.170731707317072
245505508,2020-03-20,101.4,15.866141732283465
877525840,2020-07-20,39.8,1.4901960784313726
282904,2021-11-13,19.8,8.881226053639846
2006468793,2021-04-16,207.2,67.1304347826087
2121377955,2022-05-02,35.6,1.0
2144978327,2021-09-11,110.0,25.75
50474,2020-07-02,11.8,1.0
41683,2019-06-02,290.2,40.691616766467064
131839,2022-02-14,27.8,1.0555555555555556
61365929,2020-02-20,5.6,2.0132890365448506
671322131,2020-06-02,63.2,16.708333333333332
2004413598,2021-04-15,932.0,82.11538461538461
808873954,2021-07-31,219.4,76.0
188214,2019-07-16,21.2,9.0
292177,2021-04-09,7.2,3.458715596330275
469213,2022-02-25,56.6,1.5555555555555556
272857,2021-06-08,61.0,21.8
1211264129,2021-04-07,20.4,2.208791208791209
1459461633,2021-05-27,22.4,3.125
604929457,2020-05-29,679.0,43.94017094017094
434928,2019-12-03,25.0,9.614186851211073
262935,2021-03-25,285.0,110.44444444444444
91190,2020-03-18,61.0,28.4
301489,2022-05-17,38.6,10.664429530201343
1474315510,2021-07-26,33.4,3.3736263736263736
245583233,2020-05-05,10.2,1.9166666666666667
2064419233,2021-08-29,183.8,49.23684210526316
1466154083,2021-09-24,119.6,39.5
1611203741,2022-01-13,319.4,66.3
55740,2019-06-13,6.8,2.6650563607085345
280409,2019-09-07,52.8,7.702643171806168
2082122407,2021-08-25,93.0,25.764705882352942
106114,2021-10-03,423.0,12.75
1401546516,2021-02-20,5.2,2.4146341463414633
964152562,2021-02-23,6.0,1.880952380952381
741630295,2020-06-11,85.6,5.7711442786069655
1140123948,2021-12-20,252.6,43.22857142857143
1816166434,2021-05-13,39.0,17.944881889763778
1347336160,2021-10-20,84.8,40.333333333333336
306083582,2020-05-13,33.2,5.8
361111,2019-10-20,113.4,29.393939393939394
64524,2022-08-15,63.4,1.0
399837643,2020-03-29,96.4,11.11875
1401520090,2021-02-26,5.2,2.3947368421052633
745385870,2020-07-26,34.2,4.129032258064516
85454,2021-03-25,11.2,1.6153846153846154
190248,2019-07-16,9.8,2.7777777777777777
1401566659,2021-02-20,5.2,1.8095238095238095
242875,2019-09-09,156.0,9.005952380952381
526159,2020-01-10,47.6,5.008333333333334
