feature,bot_mean_z,human_mean_z,chrome_mean_z,pothuman_mean_z,did_z,ci_lo,ci_hi,sig
evasion_index,0.725146880494585,0.46478456263609036,0.5105956479711491,0.6562558581529635,0.2603623178584946,0.09761386033090584,0.44577697292537355,1
ip_ent,0.6775880928441891,0.47099442118928236,0.514606414395057,0.6554493207527826,0.20659367165490672,0.059754023303627515,0.37429485247069505,1
dom_ent,0.7604528669477973,0.4718016295433457,0.5123063310771088,0.662759083043536,0.28865123740445164,0.11818528578097463,0.4757180324800947,1
ctry_ent,0.6647330628723688,0.44837905827884705,0.4977982080121259,0.6407795316485149,0.21635400459352172,0.05403770767361138,0.41268812121260134,1
compliance,0.37217541360011697,0.03398474673229078,0.0438677663368136,0.07741337963431016,0.3381906668678262,0.25812098923124965,0.4316491214207482,1
request_diversity,0.8341772153320606,0.5180730541722162,0.5378535817655324,0.6875129826077151,0.3161041611598444,0.16582838888677728,0.4934372025933616,1
log_hits,0.9902961741196108,0.5464852904872448,0.5695292881737776,0.6970563445686587,0.443810883632366,0.2546976762887063,0.6508656711150578,1
resistance,0.9436657902876183,0.569003858079835,0.5597528595150697,0.7101663234401223,0.3746619322077833,0.22029199410301023,0.5587934800611601,1
