agent_id,label,n_events,d_evasion_index,z_evasion_index,d_ip_ent,z_ip_ent,d_dom_ent,z_dom_ent,d_ctry_ent,z_ctry_ent,d_compliance,z_compliance,d_request_diversity,z_request_diversity,d_log_hits,z_log_hits,d_resistance,z_resistance
1006025140,bot,16,-0.011442550083333315,0.48402985828921374,-0.020546950000000008,0.6665961316324904,-0.03167637500000001,0.4361378205913199,0.017895674750000003,0.7418783257866085,-0.008775072499999998,0.14034371038084306,-0.020404012499999992,0.27406270365601915,-0.0036684194818845245,0.6911376943325227,0.0475483375,0.6655770891187733
1112403889,bot,11,-0.031116628775757573,1.299856464878462,-0.09035250727272728,1.462694255355448,-0.004544074545454529,1.225425939133176,0.0015466954909090916,0.13303868352160056,0.044278228727272745,1.524817631177458,0.006501201636363635,1.11359808111453,0.3255311290161043,1.121133657259344,0.06085109818181818,1.1163586126843408
1162507608,bot,1,0.030246730666666662,0.37339799859217954,0.022685046,0.18287483510271896,0.022685046,0.2732414997945546,0.045370100000000003,0.7397527664664066,0.0,0.0,0.06555559999999994,1.0026807439955494,-1.11187757497441,1.9399787995421094,-0.012633800000000014,0.21840672613986445
1167784048,bot,1,0.0003061560666666667,0.012351807712048692,0.00022961679999999998,0.003922727454250532,0.00022961679999999998,0.01815625279992308,0.0004592346,0.0338928214047113,0.0,0.0,-0.052222800000000014,0.9568928851346176,-0.6594611907660823,1.1244643285179217,-0.05728920000000001,1.5839508679379564
1182223835,bot,2,0.0031424700000000083,0.3035509509533335,-0.05794825000000009,0.37937875077915617,-0.007749560000000023,0.21495877041354736,0.07512521999999999,0.25360614817381943,0.0015873000000000003,0.026727820196613728,-0.03554639999999998,0.38342674081266087,0.14474693886745116,0.3699937841669073,-0.0026410000000000045,0.04975869138233646
118519,bot,28,0.004199596214285714,0.8694974253916008,0.0033754881428571465,0.8347167664342237,0.005835866000000011,0.685248656945965,0.0033874345000000023,1.0651486712723517,-0.012922950000000013,0.4574333736860489,-0.012425284285714282,1.2660310311032572,0.07843057628572704,1.5307992456051591,0.02407835714285716,0.6627903448630253
118619285,bot,32,0.0004112828000000003,0.045050001428493164,0.00017774904375,0.03940887804892561,0.0008783503125000003,0.05774873528355437,0.00017774904375,0.03940703134705265,0.0013170246249999996,0.20187196828222315,0.009078982500000006,0.2643709363534468,-0.034599584833938046,0.15749365928512726,0.0021598499999999996,0.6059704833853163
1215949374,bot,2,-0.00023052306666666693,0.0302654205485648,-0.00017192518,0.023344120380284383,-0.00017192518,0.022402215654921807,-0.00034771884,0.04369218838578322,0.0,0.0,0.024298880000000023,0.22262561210404494,-0.9334388909579672,2.043227795806796,-0.02440940000000001,2.984824187388589
1216003577,bot,3,-0.05251832666666668,0.6493902748695349,-0.05251832666666668,0.6500432184953745,-0.05251832666666668,0.6452948413858596,-0.05251832666666668,0.6501387896293856,0.12686759999999997,0.8518502255496215,-0.062421400000000016,0.4446342259032907,-0.12858087055163514,0.45447437279162445,0.22105339999999998,1.4202815139266136
122220535,bot,6,-0.011431594222222221,0.39055574399216136,-0.011442700566666667,0.39068436356571307,-0.011442700566666667,0.390688549466831,-0.011409381533333337,0.39027696135980877,-0.04783213166666667,1.313061804418776,-0.013070133333333317,1.3686583370878154,1.2481198245151428,2.8702379407048935,-0.01702246666666667,0.9606056127434486
