label,feature,n_agents,pct_trend_up,pct_trend_down,pct_any_trend,pct_changepoint,median_abs_tau,median_cp_effect
bot,evasion_index,177,56.49717514124294,29.37853107344633,85.87570621468926,94.91525423728814,0.25781376929158595,0.0922555644592772
bot,ip_ent,177,52.54237288135594,28.24858757062147,80.7909604519774,93.22033898305084,0.2661253579973144,0.1155071674
bot,dom_ent,177,53.672316384180796,30.508474576271187,84.18079096045197,93.22033898305084,0.29553965666286175,0.09251028940132625
bot,ctry_ent,177,35.02824858757062,46.32768361581921,81.35593220338984,90.96045197740112,0.29051748840196945,0.055206762656641636
bot,url_ent,177,45.76271186440678,38.983050847457626,84.7457627118644,90.96045197740112,0.24690684695700812,0.13805523189121077
bot,resistance,177,40.11299435028249,32.7683615819209,72.88135593220339,76.8361581920904,0.20309229449344196,0.10861228188775507
bot,compliance,177,18.64406779661017,29.37853107344633,48.0225988700565,51.9774011299435,0.06856095041419381,0.07829562881580854
bot,p404,177,35.59322033898305,31.63841807909605,67.2316384180791,59.32203389830508,0.1664701710833887,0.02521034214065722
bot,img,177,0.0,0.0,0.0,0.0,0.0,
bot,html,177,27.683615819209038,31.63841807909605,59.32203389830508,51.9774011299435,0.1327029084138052,0.03643735561500699
bot,js,177,0.0,0.0,0.0,0.0,0.0,
bot,php,177,31.63841807909605,36.15819209039548,67.79661016949152,65.5367231638418,0.21822776381271655,0.04562849714285716
bot,folder,177,5.649717514124294,16.38418079096045,22.033898305084744,24.293785310734464,0.0,0.14253434760091876
human,evasion_index,200,82.5,9.0,91.5,95.0,0.31499794678577697,0.1742009562677903
human,ip_ent,200,71.5,11.0,82.5,87.5,0.29994460453156035,0.1847707289352204
human,dom_ent,200,80.0,8.0,88.0,94.5,0.3323519587149323,0.17077489169904642
human,ctry_ent,200,80.0,12.0,92.0,98.0,0.31305857798673475,0.12747465129261973
human,url_ent,200,77.5,12.0,89.5,99.0,0.28876205808216054,0.23537886848785794
human,resistance,200,38.0,38.5,76.5,83.5,0.1506586758997032,0.09080018626257652
human,compliance,200,5.0,8.0,13.0,7.000000000000001,0.0,0.0006492376659797317
human,p404,200,28.499999999999996,47.5,76.0,76.5,0.16300061389529602,0.03053338906524123
human,img,200,0.0,0.0,0.0,0.0,0.0,
human,html,200,4.5,42.5,47.0,29.5,0.0776026382140974,0.0009273573299942225
human,js,200,0.0,0.0,0.0,0.0,0.0,
human,php,200,17.5,57.99999999999999,75.5,77.5,0.19959649976733945,0.03762801859357464
human,folder,200,22.5,53.0,75.5,85.5,0.1803744085118723,0.11595686842065867
chrome,evasion_index,1191,57.85054575986565,25.272879932829557,83.12342569269522,93.36691855583543,0.21009832693926972,0.18317110032957393
chrome,ip_ent,1191,52.56087321578505,20.23509655751469,72.79596977329975,83.37531486146096,0.1670604743525978,0.19561507368207945
chrome,dom_ent,1191,57.43073047858942,22.250209907640638,79.68094038623006,90.34424853064652,0.19256922086768105,0.18550012572285918
chrome,ctry_ent,1191,55.83543240973972,32.325776658270364,88.16120906801007,96.89336691855584,0.28175974924793135,0.17904982038961031
chrome,url_ent,1191,55.91939546599496,28.79932829554996,84.71872376154492,95.13014273719563,0.21589818495265012,0.199958245959596
chrome,resistance,1191,40.38623005877414,40.302267002518896,80.68849706129303,87.74139378673384,0.19360015900754285,0.08727232283629657
chrome,compliance,1191,2.434928631402183,14.86146095717884,17.296389588581025,6.9689336691855575,0.0,0.0008932927119479658
chrome,p404,1191,36.10411418975651,44.08060453400503,80.18471872376155,79.09319899244332,0.1893100418980543,0.03379131367089522
chrome,img,1191,0.0,0.0,0.0,0.0,0.0,
chrome,html,1191,22.670025188916874,54.40806045340051,77.07808564231739,73.97145256087322,0.18043612102091763,0.011539866319573284
chrome,js,1191,0.0,0.0,0.0,0.0,0.0,
chrome,php,1191,24.853064651553318,55.41561712846348,80.26868178001679,88.49706129303107,0.20575918523563883,0.08080477650326795
chrome,folder,1191,0.0,0.0,0.0,0.0,0.0,0.0005182973210798211
pothuman,evasion_index,2015,58.85856079404467,16.17866004962779,75.03722084367246,85.50868486352357,0.19136324773935273,0.23034354358836215
pothuman,ip_ent,2015,58.80893300248139,15.086848635235734,73.89578163771712,82.72952853598015,0.18873060662635596,0.24228251501307757
pothuman,dom_ent,2015,53.30024813895782,17.568238213399503,70.86848635235732,86.45161290322581,0.17593739370408512,0.23656480285998893
pothuman,ctry_ent,2015,47.146401985111666,21.935483870967744,69.08188585607941,83.72208436724566,0.16954175727841422,0.21669345154040404
pothuman,url_ent,2015,48.83374689826302,20.893300248138956,69.72704714640199,88.6848635235732,0.1738749697274682,0.29086554328689085
pothuman,resistance,2015,64.01985111662532,18.11414392059553,82.13399503722084,82.58064516129032,0.24471777269946043,0.2104007279402028
pothuman,compliance,2015,3.1761786600496276,4.416873449131513,7.5930521091811425,3.9205955334987594,0.0,0.003526994930375809
pothuman,p404,2015,28.188585607940446,22.133995037220842,50.32258064516129,35.930521091811414,0.11368419179254821,0.046183733272727276
pothuman,img,2015,0.0,0.0,0.0,0.0,0.0,
pothuman,html,2015,3.225806451612903,14.98759305210918,18.213399503722083,8.188585607940446,0.0,0.0015415412829846871
pothuman,js,2015,0.0,0.0,0.0,0.0,0.0,
pothuman,php,2015,13.399503722084367,64.81389578163773,78.21339950372209,79.45409429280397,0.2591460942595227,0.4783101104067964
pothuman,folder,2015,56.12903225806451,25.260545905707193,81.38957816377172,82.72952853598015,0.25274477320866084,0.4078716708703921
