a_id,group,n_days,real_post_lag,real_post_ccf,real_pre_ccf,real_responder,null_post_ccf_0,null_responder_0,null_post_ccf_1,null_responder_1,null_post_ccf_2,null_responder_2,null_post_ccf_3,null_responder_3,null_post_ccf_4,null_responder_4,null_post_ccf_5,null_responder_5,null_post_ccf_6,null_responder_6,null_post_ccf_7,null_responder_7,null_post_ccf_8,null_responder_8,null_post_ccf_9,null_responder_9
41411,bot,225,6,0.18436687313988762,0.20196764800788494,False,0.09592024025422702,True,0.17516193350564607,False,0.1442024679593078,True,0.25211526341695006,True,-0.061013777761638625,True,0.2004762220507624,False,0.2926962563881785,True,0.07921469619826337,False,0.29295183620101056,True,0.2944432621581333,True
41558,bot,184,13,-0.1139315326482044,0.1205258924472157,False,0.21298797745990256,False,0.10546028759886097,True,-0.07787000791070588,True,0.2063400837110449,True,0.21427668310792738,False,-0.10096928981712347,True,-0.076581302262681,False,-0.08901366975068051,True,0.14441007678595189,True,0.13516792001918146,True
41664,bot,171,4,0.21447676065888396,0.23967832271252992,False,0.09840097526771201,False,0.09572593402768578,False,0.2244844923714255,True,0.09644643976925514,True,0.0986199342395834,False,0.22448449237142548,True,0.1084485686200873,False,-0.037879902133753175,False,0.22448449237142548,True,0.22187307995735445,True
41683,bot,686,3,0.27016117690668273,0.044290565407328286,True,0.07464487811617643,True,0.09652341062130558,True,0.20019336104444366,True,-0.04306694338974591,False,0.042938994640201504,False,0.09654307503790678,False,0.03600927031849568,False,-0.04551345091326738,False,-0.044888515643025866,False,0.055146553465801426,True
41686,bot,343,14,-0.08132261944280711,-0.0690714871886549,True,0.16370144364042727,True,-0.10513337292715749,True,0.05506405707445694,False,-0.0514346164985953,False,-0.08246658849180767,True,-0.06702008459086051,True,-0.06483972468014317,False,-0.08206410508643197,True,-0.07855417858196465,False,0.08250232910566692,True
41801,bot,316,9,0.2507634397327787,0.21677445760200037,True,-0.0695210688644609,False,-0.07082867517539115,False,0.07495455706993301,False,0.10852851607679874,True,0.10805154526985825,True,0.10944135565404929,True,-0.07039280640508107,False,0.10874645046195375,False,-0.06930313447930585,False,0.2525069148140192,True
41884,bot,472,2,0.2386804115962279,0.210198348350205,True,-0.04689161419293641,False,0.12932945037894839,False,0.14754292686728568,True,0.16014189413873448,True,0.12932945037894839,False,0.030209887598035945,False,-0.05773576034311121,False,0.12360967085291906,False,0.13467074823052388,False,-0.053114198562630936,False
41965,bot,85,6,-0.3221296251781231,-0.19879677917461097,True,0.1911538435122929,False,0.1911538435122929,True,0.18149960899147005,False,0.19115384351229286,False,-0.2989594623281482,True,0.1911538435122929,False,0.19115384351229286,False,0.16991452756648256,False,0.19115384351229286,True,0.19115384351229286,False
41973,bot,547,8,0.16993750252543996,0.0764306418015564,True,0.0807487244555425,False,-0.024033642268817726,True,-0.023518635648771637,False,-0.02399072505048055,True,-0.023819056177131856,False,0.1647866732133962,False,0.08602213089093785,False,0.03669078990707528,True,-0.024076559487154908,False,0.17004420427135186,True
42008,bot,279,2,0.17305517551506755,0.0968538417863899,True,-0.02736925963992961,False,0.031412856312684125,False,0.08301939464886045,True,-0.04992583258349852,False,0.07577742038695524,True,-0.03335113288906579,False,-0.025477294774273802,True,0.029426631459115758,False,-0.02788802455843622,True,-0.02478213228439059,False
42030,bot,388,1,0.1709618487851962,0.20601538702894873,False,0.03356375611756908,False,-0.03237105724017474,False,0.24075450506876991,True,-0.026310051240204337,False,-0.03237105724017474,False,0.13080052829948138,False,-0.02928177184759252,False,-0.03237105724017473,False,-0.032371057240174736,False,0.19107182736125672,True
42322,bot,606,1,-0.011185710764292199,0.565065656638261,False,-0.011053571468079934,False,-0.010628573275697224,False,0.02680912229947103,True,-0.009554371472221698,False,-0.01141583446448151,False,0.025591225824560984,True,0.017632042743169304,False,-0.010561310097203623,True,0.08032110805905963,True,-0.011415834464481512,False
42349,bot,512,1,0.2698500734310143,-0.006025149916133071,True,-0.013408911249793109,False,-0.013408911249793116,False,0.03066836764233491,True,0.04270420274944017,True,-0.013408911249793112,False,0.013795728618140704,False,-0.013408911249793116,False,-0.013408911249793112,False,-0.013408911249793109,False,-0.013408911249793109,False
42372,bot,89,4,0.2760877561450781,0.17396868155729134,True,0.20082708156993268,False,-0.15778632620289043,False,-0.21003742980882004,True,0.20706581710880856,False,-0.19340080170515114,True,0.2029066600828913,False,-0.18924164467923393,True,0.2236404219526753,False,-0.1557067476899318,False,-0.20379869426994426,True
42382,bot,380,2,0.08797614242780724,-0.03647231305553688,True,0.2958775752452788,True,0.09100578513779813,True,-0.03675874483345993,False,0.08987519102164454,True,-0.036854222092767605,False,-0.03647231305553687,True,0.09006614554025992,True,-0.036854222092767626,True,0.08409911182910475,True,0.2947469811291253,True
42431,bot,673,4,0.07204269670853937,0.10344221918248077,False,-0.02952589089906384,True,0.04774779905599991,True,0.15987514618478743,False,-0.028415011643219194,False,0.09098385726136034,True,-0.02317350199508062,False,-0.02561040155350537,False,-0.021911695547881346,False,0.06522292388875352,True,-0.021911695547881346,False
42435,bot,179,5,0.2870643817261734,0.1927020588054849,True,0.29494223553133786,True,0.2869288487574823,True,0.29670416412432093,True,-0.026157862957363335,True,0.2865222498514094,True,0.29548436740610184,True,-0.026157862957363335,True,0.28584458500795445,True,0.2962975652182478,False,0.2957554333434838,False
42449,bot,468,2,-0.020064541802227366,0.0158938711083941,True,-0.019940994736685168,False,-0.019574000523517737,False,-0.02057682797590124,True,0.13256694695594412,True,0.021002917477623007,True,-0.01924838839210946,False,0.39377339912199893,True,0.06604368124978227,True,0.03604236460347446,False,0.06617175279320076,True
